trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
851,200727418131,0.9418,0.0835,0.9528,0.7952,0.0865,0.0741
852,200727428173,0.8469,0.7854,0.9818,0.0832,0.8729,0.1321
853,200727620147,0.4678,0.9225,0.0803,0.7106,0.9,0.8688
854,200728219181,0.1383,0.3055,0.035,0.1181,0.5162,0.1054
855,200728530307,0.0783,0.5227,0.0911,0.0394,0.6555,0.1915
856,200728815251,0.5492,0.36,0.9127,0.2133,0.2825,0.4795
857,200728815251,0.1209,0.196,0.0659,0.0953,0.1013,0.3585
858,200729119148,0.1714,0.9727,0.0406,0.5586,0.9764,0.7402
859,200729718300,0.0497,0.0727,0.0173,0.0309,0.0511,0.0964
860,200729718300,0.1455,0.9286,0.092,0.4513,0.9467,0.2317
861,200730618133,0.1079,0.1017,0.0645,0.0738,0.0581,0.1393
862,200731316148,0.4293,0.9896,0.1644,0.6194,0.8926,0.9951
863,200731410093,0.2005,0.9572,0.036,0.5666,0.3616,0.9826
864,200731505095,0.8451,0.167,0.9407,0.3457,0.176,0.1317
865,200731505095,0.9687,0.3466,0.9631,0.928,0.4367,0.1594
866,200731710150,0.991,0.2016,0.9967,0.7572,0.2869,0.0679
867,200732206075,0.427,0.1363,0.0341,0.5908,0.1672,0.0705
868,200732206075,0.2001,0.1571,0.092,0.1874,0.1074,0.3946
869,200732309128,0.8263,0.0757,0.9463,0.5716,0.0799,0.0866
870,200732410140,0.3594,0.7516,0.0631,0.5769,0.2677,0.8562
871,200732709152,0.2041,0.6491,0.0663,0.2102,0.607,0.6853
872,200733712186,0.2225,0.1264,0.7637,0.0559,0.0742,0.2254
873,200734518298,0.167,0.2549,0.2541,0.1149,0.3467,0.2232
874,200734612073,0.0654,0.148,0.0705,0.2947,0.1799,0.0879
875,200734612073,0.7798,0.1363,0.2863,0.767,0.1603,0.0732
876,200735212088,0.0819,0.0333,0.0336,0.059,0.0061,0.0634
877,200736010116,0.0474,0.103,0.0229,0.0224,0.1323,0.0616
878,200736320043,0.9011,0.1882,0.8552,0.8529,0.2646,0.0964
879,200736515134,0.7363,0.1103,0.9841,0.0331,0.0908,0.1246
880,200800818184,0.0595,0.1212,0.0425,0.042,0.1061,0.1375
881,200801212123,0.1406,0.5777,0.0453,0.1194,0.1847,0.7875
882,200801516162,0.1531,0.1778,0.0182,0.1543,0.3415,0.0621
883,200802310050,0.9333,0.1497,0.9631,0.8354,0.1441,0.1429
884,200802611064,0.2865,0.1761,0.4918,0.2929,0.3576,0.071
885,200802612179,0.0922,0.0982,0.007,0.0962,0.1262,0.058
886,200802612179,0.487,0.6041,0.88,0.1838,0.7454,0.1545
887,200803311083,0.5891,0.3098,0.043,0.7352,0.3463,0.2022
888,200803311083,0.6249,0.1545,0.7071,0.61,0.1546,0.1277
889,200803311083,0.0439,0.1026,0.0687,0.2674,0.0668,0.1442
890,200803311083,0.9664,0.0601,0.9678,0.7634,0.0148,0.1103
891,200803514101,0.5255,0.2389,0.0276,0.619,0.2511,0.179
