trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration,count_uncommon_Curvature,count_uncommon_Displacement,count_uncommon_Duration,count_uncommon_Extent,count_uncommon_Geometric,count_uncommon_Indentation,count_uncommon_Kinematic,count_uncommon_Localization,count_uncommon_Path_Evolution,count_uncommon_Phase_Change,count_uncommon_Sampling_Gaps,count_uncommon_Sequence_Complexity,count_uncommon_Spatial_Context,count_uncommon_SpatioTemporal_Dynamics,count_uncommon_Speed,count_uncommon_Temporal
2308,76,10,29,37,66,0.868421052631579,0.3815789473684211,0.4868421052631579,Speed,5,0.13513513513513514,2.8878194459616005,0,5,5,0,5,1,5,0,5,0,0,0,5,1,0,5,0
2309,76,3,42,31,73,0.9605263157894737,0.5526315789473685,0.40789473684210525,Speed,3,0.0967741935483871,2.6423195295180255,3,3,0,0,3,1,3,1,3,3,0,3,3,1,1,3,0
2310,76,1,56,19,75,0.9868421052631579,0.7368421052631579,0.25,Speed,2,0.10526315789473684,1.73198178140114,2,2,2,2,2,0,0,0,1,2,2,0,2,0,0,2,0
2311,76,7,57,12,69,0.9078947368421053,0.75,0.15789473684210525,Displacement,4,0.3333333333333333,1.420544582338888,3,0,4,0,0,0,0,1,0,1,0,0,2,1,0,0,0
2312,76,6,56,14,70,0.9210526315789473,0.7368421052631579,0.18421052631578946,Sequence_Complexity,4,0.2857142857142857,1.5343561233925367,1,3,0,0,1,0,0,1,0,1,0,0,4,0,0,3,0
2313,76,15,28,33,61,0.8026315789473685,0.3684210526315789,0.4342105263157895,Sequence_Complexity,6,0.18181818181818182,2.764267358530752,6,6,6,0,3,0,0,1,0,3,0,0,6,1,1,0,0
2314,76,6,53,17,70,0.9210526315789473,0.6973684210526315,0.2236842105263158,Duration,4,0.23529411764705882,1.687409959489593,2,4,0,4,0,1,0,0,0,3,3,0,0,0,0,0,0
2315,76,6,55,15,70,0.9210526315789473,0.7236842105263158,0.19736842105263158,Path_Evolution,4,0.26666666666666666,1.6494464707043321,4,0,1,0,1,0,0,1,0,4,1,0,0,1,1,0,1
2316,76,16,32,28,60,0.7894736842105263,0.42105263157894735,0.3684210526315789,Indentation,6,0.21428571428571427,2.5882042833459855,2,3,0,6,0,1,6,1,0,0,0,5,0,0,1,3,0
2317,76,10,40,26,66,0.868421052631579,0.5263157894736842,0.34210526315789475,Speed,4,0.15384615384615385,2.351922187859794,4,4,0,2,4,0,0,0,0,4,4,0,0,0,0,4,0
2318,76,16,38,22,60,0.7894736842105263,0.5,0.2894736842105263,Duration,5,0.22727272727272727,2.273579671417968,0,0,0,5,3,0,3,0,4,0,0,3,1,0,0,3,0
2319,76,18,26,32,58,0.7631578947368421,0.34210526315789475,0.42105263157894735,Sequence_Complexity,5,0.15625,2.7633477756259404,0,0,5,0,3,0,0,0,5,0,5,5,5,3,0,0,1
2320,76,10,46,20,66,0.868421052631579,0.6052631578947368,0.2631578947368421,Speed,4,0.2,2.1845998038143333,0,1,2,2,3,1,0,1,1,0,0,3,0,1,1,4,0
2321,76,13,33,30,63,0.8289473684210527,0.4342105263157895,0.39473684210526316,Speed,5,0.16666666666666666,2.5719563009566024,0,0,5,5,0,3,0,0,0,0,0,5,5,2,0,5,0
2322,76,27,35,14,49,0.6447368421052632,0.4605263157894737,0.18421052631578946,Speed,6,0.42857142857142855,1.8772494784701923,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,6,0
2323,76,25,28,23,51,0.6710526315789473,0.3684210526315789,0.3026315789473684,Speed,6,0.2608695652173913,2.3144910197658417,0,0,0,3,3,0,0,0,5,0,1,5,0,0,0,6,0
2324,76,18,27,31,58,0.7631578947368421,0.35526315789473684,0.40789473684210525,Curvature,6,0.1935483870967742,2.7357623023943836,0,6,0,0,4,2,5,0,2,0,4,0,0,0,0,5,3
2325,76,42,16,18,34,0.4473684210526316,0.21052631578947367,0.23684210526315788,Speed,8,0.4444444444444444,1.8796761086931266,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,8,0
2326,76,3,57,16,73,0.9605263157894737,0.75,0.21052631578947367,Sampling_Gaps,3,0.1875,1.6329354961556815,1,0,2,2,0,1,3,0,1,0,1,3,1,1,0,0,0
2327,76,6,39,31,70,0.9210526315789473,0.5131578947368421,0.40789473684210525,Sampling_Gaps,4,0.12903225806451613,2.702994631196586,3,4,0,0,3,1,3,1,0,0,4,4,3,1,0,3,1
2328,76,3,58,15,73,0.9605263157894737,0.7631578947368421,0.19736842105263158,Speed,2,0.13333333333333333,1.63585139213355,1,1,2,0,0,0,1,1,1,2,0,1,1,1,1,2,0
2329,76,10,36,30,66,0.868421052631579,0.47368421052631576,0.39473684210526316,Displacement,5,0.16666666666666666,2.662980191344104,4,0,5,0,3,0,0,1,3,4,4,0,0,1,1,4,0
2330,76,6,41,29,70,0.9210526315789473,0.5394736842105263,0.3815789473684211,Speed,4,0.13793103448275862,2.43313416218264,4,3,4,0,4,0,0,0,0,4,2,4,0,0,0,4,0
2331,76,4,46,26,72,0.9473684210526315,0.6052631578947368,0.34210526315789475,Speed,3,0.11538461538461539,2.3813710991088497,0,0,3,2,3,0,2,0,3,3,2,2,0,1,1,3,1
2332,76,6,59,11,70,0.9210526315789473,0.7763157894736842,0.14473684210526316,Path_Evolution,4,0.36363636363636365,1.282919586879914,1,2,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0
2333,76,0,67,9,76,1.0,0.881578947368421,0.11842105263157894,Speed,1,0.1111111111111111,0.9001909902768652,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0
2334,76,2,66,8,74,0.9736842105263158,0.868421052631579,0.10526315789473684,Spatial_Context,2,0.25,0.8672694624217705,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0
2335,76,15,55,6,61,0.8026315789473685,0.7236842105263158,0.07894736842105263,Acceleration,4,0.6666666666666666,1.1876887874174793,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2336,76,55,17,4,21,0.27631578947368424,0.2236842105263158,0.05263157894736842,Sequence_Complexity,4,1.0,1.0444847167973743,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
2337,76,46,25,5,30,0.39473684210526316,0.32894736842105265,0.06578947368421052,Localization,3,0.6,1.314570378902083,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0
2338,76,38,27,11,38,0.5,0.35526315789473684,0.14473684210526316,Sampling_Gaps,8,0.7272727272727273,1.5563736243457782,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0
2339,76,18,45,13,58,0.7631578947368421,0.5921052631578947,0.17105263157894737,Sequence_Complexity,6,0.46153846153846156,1.7781667981130074,1,1,0,0,0,0,1,0,1,1,0,0,6,0,2,0,0
2340,76,51,19,6,25,0.32894736842105265,0.25,0.07894736842105263,SpatioTemporal_Dynamics,4,0.6666666666666666,1.2478707345491855,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0
2341,76,31,30,15,45,0.5921052631578947,0.39473684210526316,0.19736842105263158,Duration,7,0.4666666666666667,1.8737395141718498,4,0,2,7,0,0,0,0,0,0,0,2,0,0,0,0,0
2342,76,22,42,12,54,0.7105263157894737,0.5526315789473685,0.15789473684210525,Sequence_Complexity,6,0.5,1.7203669559296983,0,0,0,0,0,0,2,0,2,1,0,0,6,0,1,0,0
2343,76,58,9,9,18,0.23684210526315788,0.11842105263157894,0.11842105263157894,Indentation,7,0.7777777777777778,1.1434050504859112,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0
2344,76,34,36,6,42,0.5526315789473685,0.47368421052631576,0.07894736842105263,SpatioTemporal_Dynamics,3,0.5,1.4341653534883454,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,0
2345,76,42,28,6,34,0.4473684210526316,0.3684210526315789,0.07894736842105263,Indentation,5,0.8333333333333334,1.3440734338546687,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0
2346,76,31,31,14,45,0.5921052631578947,0.40789473684210525,0.18421052631578946,Speed,6,0.42857142857142855,1.8771417074877943,0,1,3,0,0,0,0,0,3,0,0,0,0,0,0,6,1
2347,76,27,33,16,49,0.6447368421052632,0.4342105263157895,0.21052631578947367,Extent,7,0.4375,2.004526816711403,1,0,0,0,7,0,0,0,2,2,0,0,2,2,0,0,0
2348,76,24,30,22,52,0.6842105263157895,0.39473684210526316,0.2894736842105263,Duration,7,0.3181818181818182,2.3003391210918713,0,0,0,7,0,3,5,1,1,3,0,2,0,0,0,0,0
2349,76,55,20,1,21,0.27631578947368424,0.2631578947368421,0.013157894736842105,Acceleration,1,1.0,0.9266992747382758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2350,76,34,22,20,42,0.5526315789473685,0.2894736842105263,0.2631578947368421,Duration,7,0.35,2.093292425606886,0,0,0,7,3,0,0,0,0,0,3,6,0,0,0,0,1
2351,76,51,22,3,25,0.32894736842105265,0.2894736842105263,0.039473684210526314,Indentation,2,0.6666666666666666,1.1242276706729697,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2352,76,46,25,5,30,0.39473684210526316,0.32894736842105265,0.06578947368421052,Extent,3,0.6,1.2882545894283988,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0
2353,76,16,43,17,60,0.7894736842105263,0.5657894736842105,0.2236842105263158,Acceleration,3,0.17647058823529413,2.0889239350968265,3,2,2,0,2,0,0,2,2,0,0,2,2,0,0,0,0
2354,76,55,16,5,21,0.27631578947368424,0.21052631578947367,0.06578947368421052,Curvature,3,0.6,1.133063411522273,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2355,76,42,12,22,34,0.4473684210526316,0.15789473684210525,0.2894736842105263,Indentation,7,0.3181818181818182,1.9726274643569754,0,0,0,0,6,3,7,0,0,0,0,0,6,0,0,0,0
2356,76,6,61,9,70,0.9210526315789473,0.8026315789473685,0.11842105263157894,Speed,1,0.1111111111111111,1.2836544529743354,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0
2357,76,21,33,22,55,0.7236842105263158,0.4342105263157895,0.2894736842105263,Sequence_Complexity,6,0.2727272727272727,2.2843354498887996,0,3,4,0,3,0,0,0,0,3,3,0,6,0,0,0,0
