rule_id,antecedent_items,consequent_items,antecedent_length,consequent_length,itemset_length,support_count,support_ratio,antecedent_support_count,antecedent_support_ratio,consequent_support_count,consequent_support_ratio,confidence,lift,leverage
RAW-FP-R03121,mean_distance_to_centroid_m=high,distance_geometry_5_2=high,1,1,2,1183,0.25331905781584585,1557,0.3334047109207709,1557,0.3334047109207709,0.7597944765574823,2.2788954434961095,0.14216035655168302
RAW-FP-R03122,speed_quant_10=low,speed_quant_min=low,1,1,2,1183,0.25331905781584585,1557,0.3334047109207709,1557,0.3334047109207709,0.7597944765574823,2.2788954434961095,0.14216035655168302
RAW-FP-R03123,speed_quant_25=high,acceleration_mad=high,1,1,2,1183,0.25331905781584585,1557,0.3334047109207709,1557,0.3334047109207709,0.7597944765574823,2.2788954434961095,0.14216035655168302
RAW-FP-R03124,speed_quant_75=high,angles_quant_05=low,1,1,2,1183,0.25331905781584585,1557,0.3334047109207709,1557,0.3334047109207709,0.7597944765574823,2.2788954434961095,0.14216035655168302
RAW-FP-R03125,speed_quant_min=low,speed_quant_10=low,1,1,2,1183,0.25331905781584585,1557,0.3334047109207709,1557,0.3334047109207709,0.7597944765574823,2.2788954434961095,0.14216035655168302
RAW-FP-R03126,speed_iqr=medium,speed_mean_first_half=medium,1,1,2,1181,0.2528907922912206,1556,0.33319057815845826,1556,0.33319057815845826,0.7589974293059126,2.2779678630196734,0.1418748309176529
RAW-FP-R03127,speed_mean_first_half=medium,speed_iqr=medium,1,1,2,1181,0.2528907922912206,1556,0.33319057815845826,1556,0.33319057815845826,0.7589974293059126,2.2779678630196734,0.1418748309176529
RAW-FP-R03128,acceleration_iqr=low,bbox_area_km2=low,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03129,acceleration_quant_05=low,speed_quant_75=high,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03130,acceleration_quant_95=high,speed_mean=high,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03131,bbox_area_km2=low,acceleration_iqr=low,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03132,distance_geometry_5_3=high,max_distance_to_centroid_m=high,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03133,max_distance_to_centroid_m=high,distance_geometry_5_3=high,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03134,max_distance_to_centroid_m=high,speed_iqr=high,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03135,mean_distance_to_centroid_m=low,relative_transition_entropy_3x3=high,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03136,relative_transition_entropy_3x3=high,mean_distance_to_centroid_m=low,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03137,speed_iqr=high,max_distance_to_centroid_m=high,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03138,speed_mean=high,acceleration_quant_95=high,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03139,speed_quant_75=high,acceleration_quant_05=low,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03140,speed_quant_95=low,speed_quant_median=low,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03141,speed_quant_median=low,speed_quant_95=low,1,1,2,1182,0.2531049250535332,1557,0.3334047109207709,1557,0.3334047109207709,0.7591522157996147,2.2769690737213875,0.14194622378937038
RAW-FP-R03142,acceleration_iqr=medium,speed_iqr=medium,1,1,2,1180,0.25267665952890794,1556,0.33319057815845826,1556,0.33319057815845826,0.7583547557840618,2.2760390163956092,0.14166069815534027
RAW-FP-R03143,speed_iqr=medium,acceleration_iqr=medium,1,1,2,1180,0.25267665952890794,1556,0.33319057815845826,1556,0.33319057815845826,0.7583547557840618,2.2760390163956092,0.14166069815534027
RAW-FP-R03144,angles_mean=low,distance_geometry_3_2=high,1,1,2,1181,0.2528907922912206,1557,0.3334047109207709,1557,0.3334047109207709,0.7585099550417469,2.2750427039466654,0.14173209102705775
RAW-FP-R03145,angles_quant_10=low,net_displacement_m=high,1,1,2,1181,0.2528907922912206,1557,0.3334047109207709,1557,0.3334047109207709,0.7585099550417469,2.2750427039466654,0.14173209102705775
RAW-FP-R03146,bbox_width_m=high,speed_quant_max=high,1,1,2,1181,0.2528907922912206,1557,0.3334047109207709,1557,0.3334047109207709,0.7585099550417469,2.2750427039466654,0.14173209102705775
RAW-FP-R03147,directness_ratio=high,median_distance_to_centroid_m=high,1,1,2,1181,0.2528907922912206,1557,0.3334047109207709,1557,0.3334047109207709,0.7585099550417469,2.2750427039466654,0.14173209102705775
RAW-FP-R03148,distance_geometry_1_1=high,median_distance_to_centroid_m=high,1,1,2,1181,0.2528907922912206,1557,0.3334047109207709,1557,0.3334047109207709,0.7585099550417469,2.2750427039466654,0.14173209102705775
RAW-FP-R03149,distance_geometry_3_2=high,angles_mean=low,1,1,2,1181,0.2528907922912206,1557,0.3334047109207709,1557,0.3334047109207709,0.7585099550417469,2.2750427039466654,0.14173209102705775
RAW-FP-R03150,median_distance_to_centroid_m=high,directness_ratio=high,1,1,2,1181,0.2528907922912206,1557,0.3334047109207709,1557,0.3334047109207709,0.7585099550417469,2.2750427039466654,0.14173209102705775
RAW-FP-R03151,median_distance_to_centroid_m=high,distance_geometry_1_1=high,1,1,2,1181,0.2528907922912206,1557,0.3334047109207709,1557,0.3334047109207709,0.7585099550417469,2.2750427039466654,0.14173209102705775
RAW-FP-R03152,net_displacement_m=high,angles_quant_10=low,1,1,2,1181,0.2528907922912206,1557,0.3334047109207709,1557,0.3334047109207709,0.7585099550417469,2.2750427039466654,0.14173209102705775
RAW-FP-R03153,speed_quant_max=high,bbox_width_m=high,1,1,2,1181,0.2528907922912206,1557,0.3334047109207709,1557,0.3334047109207709,0.7585099550417469,2.2750427039466654,0.14173209102705775
RAW-FP-R03154,acceleration_iqr=high,speed_quant_95=high,1,1,2,1180,0.25267665952890794,1557,0.3334047109207709,1557,0.3334047109207709,0.7578676942838792,2.2731163341719434,0.14151795826474511
RAW-FP-R03155,bbox_height_m=high,distance_geometry_3_2=high,1,1,2,1180,0.25267665952890794,1557,0.3334047109207709,1557,0.3334047109207709,0.7578676942838792,2.2731163341719434,0.14151795826474511
RAW-FP-R03156,bbox_lat_span_deg=high,distance_geometry_3_2=high,1,1,2,1180,0.25267665952890794,1557,0.3334047109207709,1557,0.3334047109207709,0.7578676942838792,2.2731163341719434,0.14151795826474511
RAW-FP-R03157,distance_geometry_3_2=high,bbox_height_m=high,1,1,2,1180,0.25267665952890794,1557,0.3334047109207709,1557,0.3334047109207709,0.7578676942838792,2.2731163341719434,0.14151795826474511
RAW-FP-R03158,distance_geometry_3_2=high,bbox_lat_span_deg=high,1,1,2,1180,0.25267665952890794,1557,0.3334047109207709,1557,0.3334047109207709,0.7578676942838792,2.2731163341719434,0.14151795826474511
RAW-FP-R03159,speed_iqr=high,speed_kurt=low,1,1,2,1180,0.25267665952890794,1557,0.3334047109207709,1557,0.3334047109207709,0.7578676942838792,2.2731163341719434,0.14151795826474511
RAW-FP-R03160,speed_kurt=low,speed_iqr=high,1,1,2,1180,0.25267665952890794,1557,0.3334047109207709,1557,0.3334047109207709,0.7578676942838792,2.2731163341719434,0.14151795826474511
RAW-FP-R03161,speed_quant_95=high,acceleration_iqr=high,1,1,2,1180,0.25267665952890794,1557,0.3334047109207709,1557,0.3334047109207709,0.7578676942838792,2.2731163341719434,0.14151795826474511
RAW-FP-R03162,angles_quant_10=low,angles_quant_75=low,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03163,angles_quant_25=low,speed_quant_95=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03164,angles_quant_75=low,angles_quant_10=low,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03165,bbox_lon_span_deg=high,distance_geometry_2_1=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03166,bbox_lon_span_deg=high,speed_quant_max=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03167,bbox_width_m=high,distance_geometry_2_1=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03168,distance_geometry_2_1=high,bbox_lon_span_deg=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03169,distance_geometry_2_1=high,bbox_width_m=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03170,distance_geometry_2_1=high,distance_geometry_5_2=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03171,distance_geometry_3_3=high,radius_of_gyration_m=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03172,distance_geometry_5_2=high,distance_geometry_2_1=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03173,radius_of_gyration_m=high,distance_geometry_3_3=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03174,speed_quant_95=high,angles_quant_25=low,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03175,speed_quant_max=high,bbox_lon_span_deg=high,1,1,2,1179,0.2524625267665953,1557,0.3334047109207709,1557,0.3334047109207709,0.7572254335260116,2.2711899643972213,0.14130382550243248
RAW-FP-R03176,acceleration_iqr=low,bbox_diagonal_m=low,1,1,2,1178,0.25224839400428267,1557,0.3334047109207709,1557,0.3334047109207709,0.7565831727681439,2.2692635946224997,0.14108969274011984
RAW-FP-R03177,acceleration_quant_90=low,acceleration_quant_min=high,1,1,2,1178,0.25224839400428267,1557,0.3334047109207709,1557,0.3334047109207709,0.7565831727681439,2.2692635946224997,0.14108969274011984
RAW-FP-R03178,acceleration_quant_min=high,acceleration_quant_90=low,1,1,2,1178,0.25224839400428267,1557,0.3334047109207709,1557,0.3334047109207709,0.7565831727681439,2.2692635946224997,0.14108969274011984
RAW-FP-R03179,bbox_diagonal_m=low,acceleration_iqr=low,1,1,2,1178,0.25224839400428267,1557,0.3334047109207709,1557,0.3334047109207709,0.7565831727681439,2.2692635946224997,0.14108969274011984
RAW-FP-R03180,mean_distance_to_centroid_m=low,net_displacement_m=low,1,1,2,1178,0.25224839400428267,1557,0.3334047109207709,1557,0.3334047109207709,0.7565831727681439,2.2692635946224997,0.14108969274011984
RAW-FP-R03181,net_displacement_m=low,mean_distance_to_centroid_m=low,1,1,2,1178,0.25224839400428267,1557,0.3334047109207709,1557,0.3334047109207709,0.7565831727681439,2.2692635946224997,0.14108969274011984
RAW-FP-R03182,radius_of_gyration_m=high,speed_quant_max=high,1,1,2,1178,0.25224839400428267,1557,0.3334047109207709,1557,0.3334047109207709,0.7565831727681439,2.2692635946224997,0.14108969274011984
RAW-FP-R03183,speed_quant_max=high,radius_of_gyration_m=high,1,1,2,1178,0.25224839400428267,1557,0.3334047109207709,1557,0.3334047109207709,0.7565831727681439,2.2692635946224997,0.14108969274011984
RAW-FP-R03184,acceleration_mad=high,speed_quant_90=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03185,acceleration_quant_75=low,speed_quant_10=low,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03186,acceleration_quant_95=high,speed_quant_90=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03187,bbox_diagonal_m=high,distance_geometry_3_3=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03188,distance_geometry_2_1=high,net_displacement_m=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03189,distance_geometry_3_3=high,speed_mean_second_half=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03190,distance_geometry_3_3=high,bbox_diagonal_m=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03191,mean_distance_to_centroid_m=high,speed_quant_max=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03192,median_distance_to_centroid_m=low,net_displacement_m=low,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03193,net_displacement_m=high,distance_geometry_2_1=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03194,net_displacement_m=low,median_distance_to_centroid_m=low,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03195,speed_mean_second_half=high,distance_geometry_3_3=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03196,speed_quant_10=low,acceleration_quant_75=low,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03197,speed_quant_90=high,acceleration_quant_95=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03198,speed_quant_90=high,acceleration_mad=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03199,speed_quant_max=high,mean_distance_to_centroid_m=high,1,1,2,1177,0.25203426124197004,1557,0.3334047109207709,1557,0.3334047109207709,0.7559409120102761,2.267337224847777,0.1408755599778072
RAW-FP-R03200,speed_mean_first_half=medium,speed_quant_95=medium,1,1,2,1175,0.25160599571734477,1556,0.33319057815845826,1556,0.33319057815845826,0.7551413881748072,2.266394783275289,0.1405900343437771
RAW-FP-R03201,speed_quant_95=medium,speed_mean_first_half=medium,1,1,2,1175,0.25160599571734477,1556,0.33319057815845826,1556,0.33319057815845826,0.7551413881748072,2.266394783275289,0.1405900343437771
RAW-FP-R03202,distance_geometry_2_1=high,distance_geometry_5_1=high,1,1,2,1176,0.2518201284796574,1557,0.3334047109207709,1557,0.3334047109207709,0.7552986512524085,2.2654108550730556,0.14066142721549457
RAW-FP-R03203,distance_geometry_5_1=high,distance_geometry_2_1=high,1,1,2,1176,0.2518201284796574,1557,0.3334047109207709,1557,0.3334047109207709,0.7552986512524085,2.2654108550730556,0.14066142721549457
RAW-FP-R03204,mean_distance_to_centroid_m=medium,speed_quant_95=medium,1,1,2,1174,0.25139186295503213,1556,0.33319057815845826,1556,0.33319057815845826,0.7544987146529563,2.2644659366512245,0.14037590158146446
RAW-FP-R03205,speed_quant_95=medium,mean_distance_to_centroid_m=medium,1,1,2,1174,0.25139186295503213,1556,0.33319057815845826,1556,0.33319057815845826,0.7544987146529563,2.2644659366512245,0.14037590158146446
RAW-FP-R03206,max_distance_to_centroid_m=low,relative_grid_revisit_ratio_3x3=low,1,1,2,1209,0.2588865096359743,1557,0.3334047109207709,1602,0.3430406852248394,0.7764932562620424,2.26356024141307,0.14451512914452358
RAW-FP-R03207,relative_grid_revisit_ratio_3x3=low,max_distance_to_centroid_m=low,1,1,2,1209,0.2588865096359743,1602,0.3430406852248394,1557,0.3334047109207709,0.7546816479400749,2.2635602414130696,0.14451512914452358
RAW-FP-R03208,acceleration_mad=low,speed_quant_10=low,1,1,2,1175,0.25160599571734477,1557,0.3334047109207709,1557,0.3334047109207709,0.7546563904945408,2.2634844852983336,0.14044729445318194
RAW-FP-R03209,angles_quant_05=low,speed_mean=high,1,1,2,1175,0.25160599571734477,1557,0.3334047109207709,1557,0.3334047109207709,0.7546563904945408,2.2634844852983336,0.14044729445318194
RAW-FP-R03210,angles_vcoef=high,distance_geometry_3_2=high,1,1,2,1175,0.25160599571734477,1557,0.3334047109207709,1557,0.3334047109207709,0.7546563904945408,2.2634844852983336,0.14044729445318194
RAW-FP-R03211,distance_geometry_3_2=high,angles_vcoef=high,1,1,2,1175,0.25160599571734477,1557,0.3334047109207709,1557,0.3334047109207709,0.7546563904945408,2.2634844852983336,0.14044729445318194
RAW-FP-R03212,distance_geometry_3_3=high,max_distance_to_centroid_m=high,1,1,2,1175,0.25160599571734477,1557,0.3334047109207709,1557,0.3334047109207709,0.7546563904945408,2.2634844852983336,0.14044729445318194
RAW-FP-R03213,distance_geometry_5_2=high,radius_of_gyration_m=high,1,1,2,1175,0.25160599571734477,1557,0.3334047109207709,1557,0.3334047109207709,0.7546563904945408,2.2634844852983336,0.14044729445318194
RAW-FP-R03214,max_distance_to_centroid_m=high,distance_geometry_3_3=high,1,1,2,1175,0.25160599571734477,1557,0.3334047109207709,1557,0.3334047109207709,0.7546563904945408,2.2634844852983336,0.14044729445318194
RAW-FP-R03215,radius_of_gyration_m=high,distance_geometry_5_2=high,1,1,2,1175,0.25160599571734477,1557,0.3334047109207709,1557,0.3334047109207709,0.7546563904945408,2.2634844852983336,0.14044729445318194
RAW-FP-R03216,speed_mean=high,angles_quant_05=low,1,1,2,1175,0.25160599571734477,1557,0.3334047109207709,1557,0.3334047109207709,0.7546563904945408,2.2634844852983336,0.14044729445318194
RAW-FP-R03217,speed_quant_10=low,acceleration_mad=low,1,1,2,1175,0.25160599571734477,1557,0.3334047109207709,1557,0.3334047109207709,0.7546563904945408,2.2634844852983336,0.14044729445318194
RAW-FP-R03218,relative_grid_revisit_ratio_3x3=high,relative_transition_entropy_3x3=low,1,1,2,1100,0.23554603854389722,1458,0.31220556745182015,1557,0.3334047109207709,0.7544581618655692,2.2628899267258884,0.13145523157976788
RAW-FP-R03219,relative_transition_entropy_3x3=low,relative_grid_revisit_ratio_3x3=high,1,1,2,1100,0.23554603854389722,1557,0.3334047109207709,1458,0.31220556745182015,0.7064868336544637,2.2628899267258884,0.13145523157976788
RAW-FP-R03220,acceleration_quant_25=medium,speed_quant_75=medium,1,1,2,1173,0.2511777301927195,1556,0.33319057815845826,1556,0.33319057815845826,0.7538560411311054,2.2625370900271604,0.14016176881915182
RAW-FP-R03221,speed_quant_75=medium,acceleration_quant_25=medium,1,1,2,1173,0.2511777301927195,1556,0.33319057815845826,1556,0.33319057815845826,0.7538560411311054,2.2625370900271604,0.14016176881915182
RAW-FP-R03222,acceleration_quant_25=high,bbox_area_km2=low,1,1,2,1174,0.25139186295503213,1557,0.3334047109207709,1557,0.3334047109207709,0.7540141297366731,2.2615581155236115,0.1402331616908693
RAW-FP-R03223,acceleration_quant_90=high,angles_vcoef=high,1,1,2,1174,0.25139186295503213,1557,0.3334047109207709,1557,0.3334047109207709,0.7540141297366731,2.2615581155236115,0.1402331616908693
RAW-FP-R03224,acceleration_range=high,speed_mean_first_half=high,1,1,2,1174,0.25139186295503213,1557,0.3334047109207709,1557,0.3334047109207709,0.7540141297366731,2.2615581155236115,0.1402331616908693
RAW-FP-R03225,acceleration_range=low,speed_mean_second_half=low,1,1,2,1174,0.25139186295503213,1557,0.3334047109207709,1557,0.3334047109207709,0.7540141297366731,2.2615581155236115,0.1402331616908693
RAW-FP-R03226,angles_mean=low,distance_geometry_5_2=high,1,1,2,1174,0.25139186295503213,1557,0.3334047109207709,1557,0.3334047109207709,0.7540141297366731,2.2615581155236115,0.1402331616908693
RAW-FP-R03227,angles_quant_75=low,distance_geometry_5_3=high,1,1,2,1174,0.25139186295503213,1557,0.3334047109207709,1557,0.3334047109207709,0.7540141297366731,2.2615581155236115,0.1402331616908693
RAW-FP-R03228,angles_vcoef=high,acceleration_quant_90=high,1,1,2,1174,0.25139186295503213,1557,0.3334047109207709,1557,0.3334047109207709,0.7540141297366731,2.2615581155236115,0.1402331616908693
