meta_pattern_id,contrast_group,contrast_group_label,selection_reason,node_id,feature,n_covered,n_contrast,covered_mean_value,contrast_mean_value,covered_median_value,contrast_median_value,covered_minus_contrast_mean_value,covered_minus_contrast_median_value,covered_mean_robust_standardized_value,contrast_mean_robust_standardized_value,covered_median_robust_standardized_value,contrast_median_robust_standardized_value,covered_minus_contrast_mean_robust_standardized_value,absolute_covered_minus_contrast_mean_robust_standardized_value,covered_minus_contrast_median_robust_standardized_value,absolute_covered_minus_contrast_median_robust_standardized_value,median_difference_direction
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,acceleration_mean_second_half,131,131,1.3783991233517136e-06,3.3939939128093137e-06,1.7421402655987895e-06,7.817377399507829e-07,-2.0155947894576e-06,9.604025256480066e-07,-0.07836676304677097,0.02925477290667744,-0.05894501189775831,-0.11022515783007833,-0.10762153595344841,0.10762153595344841,0.05128014593232002,0.05128014593232002,higher_in_covered
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,speed_mean_half_diff,131,131,0.7444998773016138,0.4049148789550809,0.39793259141621107,0.5100566542597331,0.33958499834653294,-0.11212406284352205,0.0690850508660035,-0.04770791079454436,-0.05010931852692591,-0.011546656935069918,0.11679296166054787,0.11679296166054787,-0.03856266159185599,0.03856266159185599,lower_in_covered
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,acceleration_mean_first_half,131,131,1.4395476591726855e-05,1.2347627485403534e-05,1.3599615373286009e-05,1.3065164404933299e-05,2.047849106323321e-06,5.344509683527102e-07,0.018549899415080114,-0.12125432403517308,-0.03578259963220459,-0.07226893174137795,0.1398042234502532,0.1398042234502532,0.03648633210917336,0.03648633210917336,higher_in_covered
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,acceleration_progress_slope,131,131,-2.9227916824216938e-05,-3.0154753188170825e-05,-3.0296499344407524e-05,-3.2307258154410196e-05,9.26836363953887e-07,2.010758810002672e-06,0.0594070262258491,0.04260059368311354,0.040030293999551735,0.003568968554942093,0.01680643254273556,0.01680643254273556,0.036461325444609644,0.036461325444609644,higher_in_covered
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,speed_progress_slope,131,131,1.4628828885033531,0.9926930879116298,1.0553570131961876,0.9730946985995084,0.47018980059172333,0.08226231459667921,0.06999817120285945,-0.01764403716577082,-0.005963637484463583,-0.02129712814652131,0.08764220836863026,0.08764220836863026,0.015333490662057728,0.015333490662057728,higher_in_covered
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,duration_total_seconds,131,131,539972.5190839694,534091.6030534351,594000.0,594000.0,5880.91603053431,0.0,-0.3848111176355451,-0.4266979839498924,0.0,0.0,0.04188686631434729,0.04188686631434729,0.0,0.0,same
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,point_count,131,131,56.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,relative_grid_revisit_ratio_3x3,131,131,0.8968102508178845,0.9006270447110142,0.9107142857142857,0.9107142857142857,-0.003816793893129722,0.0,-0.7786259541984745,-0.5648854961832067,0.0,0.0,-0.21374045801526775,0.21374045801526775,0.0,0.0,same
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,relative_grid_unique_cells_3x3,131,131,5.778625954198473,5.564885496183206,5.0,5.0,0.2137404580152671,0.0,0.7786259541984732,0.5648854961832062,0.0,0.0,0.2137404580152671,0.2137404580152671,0.0,0.0,same
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Temporal_Sequential_Context,sampling_gap_cv,131,131,2.0826370936546755e-11,1.65396263869107e-11,0.0,0.0,4.286744549636055e-12,0.0,0.4029160312724026,0.31998280655070993,0.0,0.0,0.08293322472169268,0.08293322472169268,0.0,0.0,same
