trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration,count_uncommon_Curvature,count_uncommon_Displacement,count_uncommon_Duration,count_uncommon_Extent,count_uncommon_Geometric,count_uncommon_Indentation,count_uncommon_Kinematic,count_uncommon_Localization,count_uncommon_Path_Evolution,count_uncommon_Phase_Change,count_uncommon_Sampling_Gaps,count_uncommon_Sequence_Complexity,count_uncommon_Spatial_Context,count_uncommon_SpatioTemporal_Dynamics,count_uncommon_Speed,count_uncommon_Temporal
37,76,0,68,8,76,1.0,0.8947368421052632,0.10526315789473684,Spatial_Context,1,0.125,0.8012502344301241,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0
38,76,34,31,11,42,0.5526315789473685,0.40789473684210525,0.14473684210526316,Geometric,4,0.36363636363636365,1.7570234380926888,0,2,0,0,3,4,0,0,1,0,0,0,1,0,0,0,0
39,76,34,42,0,42,0.5526315789473685,0.5526315789473685,0.0,,0,0.0,0.9919924034538556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,76,51,13,12,25,0.32894736842105265,0.17105263157894737,0.15789473684210525,Indentation,8,0.6666666666666666,1.4301078255680073,0,1,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0
41,76,1,55,20,75,0.9868421052631579,0.7236842105263158,0.2631578947368421,Sampling_Gaps,2,0.1,1.8008908786560025,2,2,2,2,2,0,2,0,2,2,2,2,0,0,0,0,0
42,76,34,20,22,42,0.5526315789473685,0.2631578947368421,0.2894736842105263,Localization,5,0.22727272727272727,2.208505047315523,0,5,0,0,0,0,5,0,5,0,0,0,0,3,0,4,0
43,76,21,43,12,55,0.7236842105263158,0.5657894736842105,0.15789473684210525,Path_Evolution,3,0.25,1.8390087590373863,0,1,0,0,1,0,0,0,3,3,1,0,0,1,1,0,1
44,76,10,41,25,66,0.868421052631579,0.5394736842105263,0.32894736842105265,Localization,5,0.2,2.374732031949124,0,0,5,0,3,0,3,0,5,2,3,0,2,1,0,0,1
45,76,29,34,13,47,0.618421052631579,0.4473684210526316,0.17105263157894737,Speed,4,0.3076923076923077,1.8550961257960705,0,4,2,0,0,2,0,0,0,0,0,0,0,1,0,4,0
46,76,6,65,5,70,0.9210526315789473,0.8552631578947368,0.06578947368421052,Curvature,2,0.4,0.8668264232965266,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
47,76,24,42,10,52,0.6842105263157895,0.5526315789473685,0.13157894736842105,Temporal,3,0.3,1.7048838387570175,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,1,3
48,76,46,22,8,30,0.39473684210526316,0.2894736842105263,0.10526315789473684,Sequence_Complexity,5,0.625,1.3985081244272246,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
49,76,27,36,13,49,0.6447368421052632,0.47368421052631576,0.17105263157894737,Extent,4,0.3076923076923077,1.8103729067001597,2,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0
50,76,11,49,16,65,0.8552631578947368,0.6447368421052632,0.21052631578947367,Sequence_Complexity,3,0.1875,1.8968182348780274,2,0,0,0,0,0,2,1,3,0,0,0,3,2,0,2,1
51,76,24,46,6,52,0.6842105263157895,0.6052631578947368,0.07894736842105263,Speed,5,0.8333333333333334,1.3040776388334911,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0
52,76,15,59,2,61,0.8026315789473685,0.7763157894736842,0.02631578947368421,Indentation,2,1.0,0.8837262128320538,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
53,76,15,43,18,61,0.8026315789473685,0.5657894736842105,0.23684210526315788,Extent,4,0.2222222222222222,2.1137511201171595,3,0,1,0,4,0,0,1,0,3,0,0,0,1,1,3,1
54,76,51,11,14,25,0.32894736842105265,0.14473684210526316,0.18421052631578946,Localization,7,0.5,1.5030779716752094,0,0,0,0,0,0,0,0,7,5,0,0,0,0,2,0,0
55,76,15,47,14,61,0.8026315789473685,0.618421052631579,0.18421052631578946,Phase_Change,3,0.21428571428571427,1.873928533639109,2,0,0,0,0,0,1,1,2,2,3,0,0,0,0,2,1
56,76,11,49,16,65,0.8552631578947368,0.6447368421052632,0.21052631578947367,Speed,3,0.1875,1.933066754643336,2,0,2,0,1,0,2,0,0,0,2,0,2,0,1,3,1
57,76,42,14,20,34,0.4473684210526316,0.18421052631578946,0.2631578947368421,Phase_Change,7,0.35,1.9178844927288372,0,0,4,0,0,0,7,0,0,0,7,0,0,0,0,0,2
58,76,48,21,7,28,0.3684210526315789,0.27631578947368424,0.09210526315789473,Extent,3,0.42857142857142855,1.4180360211392045,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,2,0
59,76,13,51,12,63,0.8289473684210527,0.6710526315789473,0.15789473684210525,Phase_Change,2,0.16666666666666666,1.7031984505964737,1,2,1,0,0,0,0,2,2,0,2,0,0,0,0,1,1
60,76,56,19,1,20,0.2631578947368421,0.25,0.013157894736842105,SpatioTemporal_Dynamics,1,1.0,0.906842008303402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,76,37,24,15,39,0.5131578947368421,0.3157894736842105,0.19736842105263158,Acceleration,9,0.6,1.862161729778326,9,0,0,0,0,1,1,2,0,1,0,0,0,0,1,0,0
62,76,27,29,20,49,0.6447368421052632,0.3815789473684211,0.2631578947368421,Path_Evolution,5,0.25,2.2165745279715203,0,0,0,0,3,0,4,0,0,5,0,0,4,0,1,3,0
63,76,29,29,18,47,0.618421052631579,0.3815789473684211,0.23684210526315788,Extent,5,0.2777777777777778,2.150920431972059,4,2,0,0,5,1,0,0,4,0,0,0,0,1,0,0,1
64,76,10,43,23,66,0.868421052631579,0.5657894736842105,0.3026315789473684,Displacement,5,0.21739130434782608,2.212563949121461,3,3,5,0,3,0,0,0,3,3,3,0,0,0,0,0,0
65,76,4,59,13,72,0.9473684210526315,0.7763157894736842,0.17105263157894737,Temporal,2,0.15384615384615385,1.523244093544261,1,1,0,0,1,0,0,0,1,1,1,0,1,2,1,1,2
66,76,51,20,5,25,0.32894736842105265,0.2631578947368421,0.06578947368421052,Acceleration,5,1.0,1.1513236343287125,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,76,15,53,8,61,0.8026315789473685,0.6973684210526315,0.10526315789473684,Sequence_Complexity,2,0.25,1.4560440525754623,0,0,0,0,0,1,0,1,0,1,1,0,2,0,1,0,1
68,76,7,59,10,69,0.9078947368421053,0.7763157894736842,0.13157894736842105,Localization,4,0.4,1.2646719296705344,1,0,0,0,0,0,0,0,4,2,0,0,1,0,2,0,0
69,76,22,37,17,54,0.7105263157894737,0.4868421052631579,0.2236842105263158,Curvature,5,0.29411764705882354,2.0476406961423756,0,5,0,0,4,2,3,0,0,0,0,0,2,0,0,0,1
70,76,31,29,16,45,0.5921052631578947,0.3815789473684211,0.21052631578947367,Curvature,5,0.3125,2.0528477442686777,0,5,0,0,2,0,0,0,3,0,2,0,0,2,0,0,2
71,76,31,40,5,45,0.5921052631578947,0.5263157894736842,0.06578947368421052,Spatial_Context,2,0.4,1.3734905474240113,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0
72,76,18,42,16,58,0.7631578947368421,0.5526315789473685,0.21052631578947367,Speed,3,0.1875,2.0037757793472246,0,1,3,0,0,0,1,0,3,0,0,0,3,2,0,3,0
73,76,76,0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,76,13,47,16,63,0.8289473684210527,0.618421052631579,0.21052631578947367,Speed,3,0.1875,1.9494911006934525,0,0,2,0,0,0,2,2,0,2,3,0,1,0,0,3,1
75,76,22,40,14,54,0.7105263157894737,0.5263157894736842,0.18421052631578946,Path_Evolution,4,0.2857142857142857,1.9092497909741315,0,1,0,0,2,0,0,0,0,4,3,0,0,0,2,0,2
76,76,15,45,16,61,0.8026315789473685,0.5921052631578947,0.21052631578947367,Phase_Change,5,0.3125,1.799226510212488,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,4,0
77,76,22,47,7,54,0.7105263157894737,0.618421052631579,0.09210526315789473,Sequence_Complexity,4,0.5714285714285714,1.3903857813531975,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
78,76,16,29,31,60,0.7894736842105263,0.3815789473684211,0.40789473684210525,Sequence_Complexity,6,0.1935483870967742,2.676733120395159,4,0,6,0,0,2,6,0,0,0,2,0,6,1,0,4,0
79,76,39,19,18,37,0.4868421052631579,0.25,0.23684210526315788,Sequence_Complexity,7,0.3888888888888889,1.8939911226274573,0,7,0,0,0,3,0,0,0,0,0,0,7,0,1,0,0
80,76,29,25,22,47,0.618421052631579,0.32894736842105265,0.2894736842105263,Phase_Change,5,0.22727272727272727,2.2292904673802307,5,0,0,0,5,0,0,2,0,5,5,0,0,0,0,0,0
81,76,15,42,19,61,0.8026315789473685,0.5526315789473685,0.25,Acceleration,6,0.3157894736842105,2.098646550320873,6,0,0,0,2,0,0,1,0,4,3,0,0,1,1,0,1
82,76,28,39,9,48,0.631578947368421,0.5131578947368421,0.11842105263157894,Acceleration,5,0.5555555555555556,1.5065292920267772,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
83,76,15,46,15,61,0.8026315789473685,0.6052631578947368,0.19736842105263158,Displacement,6,0.4,1.8044175276356347,0,0,6,0,0,0,0,1,3,0,0,0,3,1,0,1,0
