rule_id,pattern,evidence,n_covered,rule_support_count,rule_support_ratio,target_coverage,confidence,lift,growth_rate,growth_rate_status,covered_trajectory_ids
R00152,"When Temporal Sequential Context is unusual relative to Curvature Geometry and Speed Dynamics is unusual relative to Spatial Reach and Route, Speed Dynamics is also unusual relative to Curvature Geometry.",41 of 48 matching trajectories (85.4%) also showed this outcome; this is 7.2× its overall rate.,48,41,0.008779443254817988,0.07360861759425494,0.8541666666666666,7.161505086774387,43.25032059502437,finite,57;66;120;151;199;274;338;342;344;385;393;427;498;549;582;735;1063;1194;1230;1283;1391;2067;2068;2069;2072;2078;2119;2120;2407;2468;2481;2672;2717;2756;2788;2906;3099;3283;3491;3833;4446;4506;4533;4552;4595;4627;4662;4667
R00153,"When Acceleration Dynamics is unusual relative to Spatial Reach and Route and Curvature Geometry is unusual relative to Temporal Sequential Context, Acceleration Dynamics is also unusual relative to Temporal Sequential Context.",64 of 75 matching trajectories (85.3%) also showed this outcome; this is 8.4× its overall rate.,75,64,0.013704496788008565,0.13417190775681342,0.8533333333333334,8.35443745632425,51.143891747665336,finite,118;201;233;238;240;243;268;294;299;301;304;306;359;401;466;591;773;992;1059;1213;1229;1321;1442;1465;1467;1564;1575;1599;1603;1637;1641;1722;1785;1876;1878;1880;1884;1907;1908;1970;2097;2196;2353;2367;2368;2369;2387;2406;2452;2680;2729;2784;2880;2990;3139;3166;3318;3362;3396;3400;3605;3607;3618;3626;3856;3967;3978;4071;4079;4272;4341;4388;4390;4510;4590
R00154,"When Acceleration Dynamics is unusual relative to Turning Dynamics and Speed Dynamics is unusual relative to Temporal Sequential Context, Speed Dynamics is also unusual relative to Turning Dynamics.",64 of 75 matching trajectories (85.3%) also showed this outcome; this is 7.2× its overall rate.,75,64,0.013704496788008565,0.11573236889692586,0.8533333333333334,7.206268836648584,43.315469340785796,finite,18;24;53;162;240;272;294;299;301;420;507;581;637;686;715;853;929;1150;1175;1265;1295;1297;1300;1321;1366;1557;1575;1585;1603;1604;1605;1625;1654;1876;1883;1981;2039;2042;2045;2169;2230;2253;2329;2368;2451;2563;2614;2680;2689;2763;2826;2873;2993;3024;3228;3318;3396;3605;3606;3618;3812;3943;4035;4079;4152;4156;4193;4323;4382;4388;4453;4567;4582;4620;4660
R00155,"When Acceleration Dynamics is unusual relative to Spatial Reach and Route and Curvature Geometry is unusual relative to Temporal Sequential Context, Curvature Geometry is also unusual relative to Spatial Reach and Route.",64 of 75 matching trajectories (85.3%) also showed this outcome; this is 7.2× its overall rate.,75,64,0.013704496788008565,0.11490125673249552,0.8533333333333334,7.1545182525433875,42.96262444915946,finite,118;201;233;238;240;243;268;294;299;301;304;306;359;401;466;591;773;992;1059;1213;1229;1321;1442;1465;1467;1564;1575;1599;1603;1637;1641;1722;1785;1876;1878;1880;1884;1907;1908;1970;2097;2196;2353;2367;2368;2369;2387;2406;2452;2680;2729;2784;2880;2990;3139;3166;3318;3362;3396;3400;3605;3607;3618;3626;3856;3967;3978;4071;4079;4272;4341;4388;4390;4510;4590
R00156,"When Turning Dynamics is unusual relative to Acceleration Dynamics and Curvature Geometry is unusual relative to Speed Dynamics, Curvature Geometry is also unusual relative to Acceleration Dynamics.",64 of 75 matching trajectories (85.3%) also showed this outcome; this is 6.9× its overall rate.,75,64,0.013704496788008565,0.11149825783972125,0.8533333333333334,6.942624854819977,41.51789673740893,finite,212;235;310;313;317;419;423;452;576;669;833;855;1001;1060;1105;1185;1197;1208;1211;1219;1387;1596;1600;1624;1634;1635;1645;1702;1822;1848;1887;1903;1914;1924;1964;1967;1973;2088;2101;2219;2535;2544;2576;2687;2834;2898;3000;3005;3215;3233;3276;3304;3333;3348;3354;3382;3434;3438;3441;3461;3544;3763;3779;3951;4005;4007;4011;4014;4124;4279;4283;4286;4404;4432;4435
R00157,"When Turning Dynamics is unusual relative to Acceleration Dynamics and Curvature Geometry is unusual relative to Speed Dynamics, Turning Dynamics is also unusual relative to Speed Dynamics.",64 of 75 matching trajectories (85.3%) also showed this outcome; this is 6.6× its overall rate.,75,64,0.013704496788008565,0.10596026490066225,0.8533333333333334,6.5977924944812365,39.16676700782661,finite,212;235;310;313;317;419;423;452;576;669;833;855;1001;1060;1105;1185;1197;1208;1211;1219;1387;1596;1600;1624;1634;1635;1645;1702;1822;1848;1887;1903;1914;1924;1964;1967;1973;2088;2101;2219;2535;2544;2576;2687;2834;2898;3000;3005;3215;3233;3276;3304;3333;3348;3354;3382;3434;3438;3441;3461;3544;3763;3779;3951;4005;4007;4011;4014;4124;4279;4283;4286;4404;4432;4435
R00158,"When Turning Dynamics is unusual relative to Acceleration Dynamics and Speed Dynamics is unusual relative to Spatial Reach and Route, Speed Dynamics is also unusual relative to Acceleration Dynamics.",58 of 68 matching trajectories (85.3%) also showed this outcome; this is 8.7× its overall rate.,68,58,0.012419700214132762,0.12691466083150985,0.8529411764705882,8.716050971811043,53.4691466083151,finite,101;175;189;199;224;251;260;385;390;427;436;628;666;832;837;851;861;922;1053;1077;1183;1184;1258;1384;1523;1567;1594;1864;2287;2318;2324;2393;2515;2540;2741;2788;2906;2942;2960;3167;3199;3222;3256;3258;3263;3302;3339;3511;3523;3533;3561;3749;3764;3777;4000;4012;4033;4129;4276;4328;4405;4412;4506;4507;4552;4565;4589;4649
R00159,"When Acceleration Dynamics is unusual relative to Temporal Sequential Context and Speed Dynamics is unusual relative to Turning Dynamics, Speed Dynamics is also unusual relative to Temporal Sequential Context.",58 of 68 matching trajectories (85.3%) also showed this outcome; this is 7.5× its overall rate.,68,58,0.012419700214132762,0.10984848484848485,0.8529411764705882,7.54400623885918,45.499242424242425,finite,24;53;92;162;233;240;294;299;301;316;420;530;637;715;825;841;1297;1321;1366;1557;1575;1585;1603;1604;1625;1654;1762;1764;1867;1883;2037;2039;2042;2045;2186;2229;2253;2368;2451;2505;2511;2614;2680;2689;2763;2873;3024;3228;3318;3396;3425;3605;3606;3608;3618;3812;3943;3967;4035;4079;4155;4312;4323;4388;4453;4459;4567;4577
R00160,"When Acceleration Dynamics is unusual relative to Spatial Reach and Route and Curvature Geometry is unusual relative to Turning Dynamics, Curvature Geometry is also unusual relative to Spatial Reach and Route.",58 of 68 matching trajectories (85.3%) also showed this outcome; this is 7.2× its overall rate.,68,58,0.012419700214132762,0.10412926391382406,0.8529411764705882,7.151230330552329,42.82836624775583,finite,118;201;233;240;241;244;265;268;294;298;299;301;359;466;557;853;872;901;983;1059;1090;1191;1321;1592;1599;1603;1644;1724;1762;1789;1876;1977;1979;2002;2093;2368;2387;2494;2580;2627;2636;2680;2784;2833;2880;2899;3117;3318;3324;3396;3397;3399;3400;3605;3606;3616;3623;3894;3967;3978;4036;4079;4103;4104;4388;4561;4577;4608
R00161,"When Speed Dynamics is unusual relative to Acceleration Dynamics and Temporal Sequential Context is unusual relative to Spatial Reach and Route, Temporal Sequential Context is also unusual relative to Acceleration Dynamics.",52 of 61 matching trajectories (85.2%) also showed this outcome; this is 8.4× its overall rate.,61,52,0.01113490364025696,0.10970464135021098,0.8524590163934426,8.3986995918932,51.14674167838725,finite,51;166;199;220;226;385;387;427;436;470;678;782;815;829;851;1063;1194;1218;1230;1370;1391;1402;1507;1553;1554;1555;1594;1601;1730;1906;2020;2108;2324;2672;2701;2782;2788;2868;2869;2906;2973;3183;3258;3306;3339;3346;3533;3752;3754;3777;3833;3917;4000;4381;4386;4396;4405;4506;4552;4589;4667
R00162,"When Speed Dynamics is unusual relative to Curvature Geometry and Turning Dynamics is unusual relative to Spatial Reach and Route, Turning Dynamics is also unusual relative to Curvature Geometry.",52 of 61 matching trajectories (85.2%) also showed this outcome; this is 6.8× its overall rate.,61,52,0.01113490364025696,0.08828522920203735,0.8524590163934426,6.758885579893678,40.03244670816827,finite,57;66;120;175;189;199;220;221;224;226;245;260;274;349;393;427;467;549;575;861;928;1077;1081;1318;1319;1462;1478;1531;1586;1678;1803;2238;2278;2407;2453;2468;2712;2741;2788;2906;3099;3213;3222;3470;3491;3661;3774;3833;3922;4129;4135;4344;4412;4462;4506;4552;4566;4603;4609;4645;4667
R00163,"When Turning Dynamics is unusual relative to Curvature Geometry and Speed Dynamics is unusual relative to Temporal Sequential Context, Turning Dynamics is also unusual relative to Temporal Sequential Context.",52 of 61 matching trajectories (85.2%) also showed this outcome; this is 6.5× its overall rate.,61,52,0.01113490364025696,0.0851063829787234,0.8524590163934426,6.51552145099407,38.38297872340426,finite,23;50;175;189;564;587;606;847;861;917;928;980;1011;1116;1151;1207;1277;1318;1319;1356;1443;1478;1531;1581;2221;2238;2278;2404;2414;2453;2498;2503;2507;2509;2607;2660;2741;2776;2780;2843;2903;2924;3070;3462;3774;3796;3881;3883;3922;3963;4051;4069;4125;4135;4139;4515;4566;4587;4596;4599;4609
R00164,"When Speed Dynamics is unusual relative to Acceleration Dynamics and Curvature Geometry is unusual relative to Turning Dynamics, Speed Dynamics is also unusual relative to Turning Dynamics.",46 of 54 matching trajectories (85.2%) also showed this outcome; this is 7.2× its overall rate.,54,46,0.009850107066381156,0.08318264014466546,0.8518518518518519,7.193757953251624,42.807866184448464,finite,8;25;51;187;192;356;389;396;424;430;527;544;612;635;752;806;815;819;1058;1068;1173;1180;1218;1423;1480;1553;1601;1632;1948;1980;1990;1993;2108;2320;2346;2537;2709;2723;2759;2809;2869;2950;3011;3091;3346;3508;3631;3772;3810;3818;3834;3937;4385;4401
