rule_id,target_item,target_pair,target_label,antecedent_items,antecedent_length,n_total,n_target,rule_support_count,rule_support_ratio,target_coverage,antecedent_support_count,antecedent_support_ratio,confidence,target_base_rate,lift,growth_rate,growth_rate_status,leverage
R00149,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry,Curvature_Geometry__x__Temporal_Sequential_Context,Uncommon Curvature_Geometry,Curvature_Geometry__x__Turning_Dynamics=Uncommon Curvature_Geometry;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Speed_Dynamics,2,4670,578,59,0.012633832976445396,0.10207612456747404,69,0.014775160599571735,0.855072463768116,0.12376873661670236,6.908630459856576,41.76955017301038,finite,0.010805130015727523
R00150,Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,Spatial_Reach_and_Route__x__Temporal_Sequential_Context,Uncommon Temporal_Sequential_Context,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Curvature_Geometry;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,4670,490,53,0.011349036402569594,0.10816326530612246,62,0.013276231263383297,0.8548387096774194,0.10492505353319058,8.147136273864385,50.235827664399096,finite,0.009956027126540083
R00151,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route,Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Acceleration_Dynamics;Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,4670,449,47,0.01006423982869379,0.10467706013363029,55,0.011777301927194861,0.8545454545454545,0.0961456102783726,8.88803401498279,55.23023385300668,finite,0.008931903947470987
R00152,Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics,Curvature_Geometry__x__Speed_Dynamics,Uncommon Speed_Dynamics,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context;Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Speed_Dynamics,2,4670,557,41,0.008779443254817988,0.07360861759425494,48,0.010278372591006424,0.8541666666666666,0.11927194860813704,7.161505086774387,43.25032059502437,finite,0.007553521727368185
R00153,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context,Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry,2,4670,477,64,0.013704496788008565,0.13417190775681342,75,0.016059957173447537,0.8533333333333334,0.10214132762312633,8.35443745632425,51.143891747665336,finite,0.012064111440742082
R00154,Speed_Dynamics__x__Turning_Dynamics=Uncommon Speed_Dynamics,Speed_Dynamics__x__Turning_Dynamics,Uncommon Speed_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Speed_Dynamics,2,4670,553,64,0.013704496788008565,0.11573236889692586,75,0.016059957173447537,0.8533333333333334,0.11841541755888652,7.206268836648584,43.315469340785796,finite,0.011802750253336939
R00155,Curvature_Geometry__x__Spatial_Reach_and_Route=Uncommon Curvature_Geometry,Curvature_Geometry__x__Spatial_Reach_and_Route,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry,2,4670,557,64,0.013704496788008565,0.11490125673249552,75,0.016059957173447537,0.8533333333333334,0.11927194860813704,7.1545182525433875,42.96262444915946,finite,0.011788994401368248
R00156,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Curvature_Geometry,Uncommon Curvature_Geometry,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics;Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry,2,4670,574,64,0.013704496788008565,0.11149825783972125,75,0.016059957173447537,0.8533333333333334,0.12291220556745182,6.942624854819977,41.51789673740893,finite,0.011730532030501308
R00157,Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,Speed_Dynamics__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics;Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry,2,4670,604,64,0.013704496788008565,0.10596026490066225,75,0.016059957173447537,0.8533333333333334,0.12933618843683084,6.5977924944812365,39.16676700782661,finite,0.01162736314073612
R00158,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Speed_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,Uncommon Speed_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics;Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Speed_Dynamics,2,4670,457,58,0.012419700214132762,0.12691466083150985,68,0.014561027837259101,0.8529411764705882,0.09785867237687366,8.716050971811043,53.4691466083151,finite,0.010994777361535887
