rule_id,feature,feature_role,feature_nodes,n_neighbor_pairs,mean_positive_value,mean_counterexample_value,mean_raw_difference,mean_absolute_robust_standardized_difference
R00003,distance_geometry_3_3,antecedent_and_target,Geometric,45,0.908568111302881,0.9515198297191999,-0.04295171841631891,0.8419297340955899
R00003,distance_geometry_5_1,antecedent_and_target,Geometric,45,0.9469727337371319,0.9600778440417115,-0.013105110304579948,0.8416422888364494
R00003,acceleration_kurt,antecedent_and_target,Acceleration;Kinematic,45,4.759615449351684,3.9391058801930905,0.8205095691585953,0.814866119644863
R00003,speed_skew,target,Kinematic,45,0.2919561182817064,0.3952219696212353,-0.10326585133952881,0.7771927308853448
R00003,angles_mean,antecedent_and_target,Geometric,45,7.399891517247535,11.336931555235074,-3.9370400379875385,0.749668754581181
R00003,angles_sd,antecedent_and_target,Geometric,45,8.394959912477194,15.071010977550134,-6.6760510650729445,0.7494737779565398
R00003,angles_meanse,antecedent_and_target,Geometric,45,1.142409344260492,2.0509048223823187,-0.9084954781218268,0.7494737779565395
R00003,distance_geometry_4_1,antecedent_and_target,Geometric,45,0.9406879757235389,0.9618089332363748,-0.02112095751283584,0.7345494986058653
R00003,angles_range,antecedent_and_target,Geometric,45,38.376175099801,68.44816346422758,-30.07198836442657,0.7104282453954648
R00003,angles_quant_max,antecedent_and_target,Geometric,45,38.43682871137979,68.55475943711777,-30.11793072573797,0.7093715761569757
R00003,angles_vcoef,antecedent_and_target,Geometric,45,1.0440017923513485,1.1504335464246656,-0.10643175407331709,0.7078306780839486
R00003,angles_quant_90,antecedent_and_target,Geometric,45,16.389914321771016,24.99189601725937,-8.601981695488359,0.7004761791908011
R00003,speed_0s,target,Kinematic,45,0.0,0.24444444444444444,-0.24444444444444444,0.6431317604993011
R00003,distance_geometry_3_1,antecedent_and_target,Geometric,45,0.9382452347873548,0.9550484649761672,-0.0168032301888126,0.6265904718369413
R00003,angles_0s,antecedent_and_target,Geometric,45,4.066666666666666,6.866666666666666,-2.8,0.6148148148148148
R00003,distance_geometry_3_2,antecedent_and_target,Geometric,45,0.958310753449621,0.9432978013357213,0.015012952113899823,0.5879228451597944
R00003,angles_mad,antecedent_and_target,Geometric,45,3.674897298887948,4.486255550162631,-0.8113582512746834,0.5753381763752123
R00003,distance_geometry_4_2,antecedent_and_target,Geometric,45,0.9720929867825467,0.9484268113351635,0.023666175447383034,0.5728923860410816
R00003,sampling_gap_cv,antecedent,Temporal,45,3.360153320592314e-11,2.966338924522662e-11,3.938143960696517e-12,0.5714202498573198
R00003,sampling_gap_sd_seconds,antecedent,Temporal,45,2.2301116611589296e-07,2.251843435311133e-07,-2.173177415220395e-09,0.5649368532231173
R00003,distance_geometry_4_3,antecedent_and_target,Geometric,45,0.9599572969040117,0.9642991017947042,-0.0043418048906927525,0.5633391207784602
R00003,angles_skew,antecedent_and_target,Geometric,45,1.522140266003053,1.7091549169496918,-0.18701465094663897,0.5455869481408766
R00003,angles_quant_05,antecedent_and_target,Geometric,45,0.2605163025585919,0.16963854040265097,0.09087776215594094,0.5449445202103917
R00003,distance_geometry_2_2,antecedent_and_target,Geometric,45,0.9184747957193041,0.941411021452438,-0.02293622573313405,0.5249128472931958
R00003,angles_kurt,antecedent_and_target,Geometric,45,2.7448741724596037,3.170537212166785,-0.4256630397071815,0.5238754873240268
R00003,distance_geometry_2_1,antecedent_and_target,Geometric,45,0.9343629823629251,0.9340951708809656,0.0002678114819591965,0.507738362096153
R00003,angles_quant_median,antecedent_and_target,Geometric,45,4.772565611749858,5.171894789960295,-0.3993291782104361,0.49966636502914186
R00003,angles_quant_10,antecedent_and_target,Geometric,45,0.4825169056223727,0.37566518563448265,0.10685171998788998,0.4401210741916174
R00003,distance_geometry_5_2,antecedent_and_target,Geometric,45,0.9767762624529436,0.9746178107029776,0.0021584517499660654,0.4377822501328036
R00003,angles_quant_25,antecedent_and_target,Geometric,45,1.6564339246645199,1.3020819646627255,0.354351960001794,0.3861724940424355
R00003,distance_geometry_1_1,antecedent_and_target,Geometric,45,0.9096584855522001,0.9173570946542101,-0.007698609102009929,0.3293122908946536
R00003,directness_ratio,antecedent,Displacement,45,0.8952647171760524,0.9101864164656078,-0.014921699289555508,0.32683150178120807
R00003,point_count,antecedent,Temporal,45,56.0,56.0,0.0,0.0
