rule_id,positive_trajectory_id,counterexample_trajectory_id,neighbor_rank,feature,feature_role,feature_nodes,positive_value,counterexample_value,raw_difference,robust_standardized_difference,absolute_robust_standardized_difference
R00007,1248,1732,1,median_distance_to_centroid_m,antecedent,Spatial_Context,933153.4370476585,742817.4001824039,190336.03686525463,0.4704106332071537,0.4704106332071537
R00007,1248,1732,1,radius_of_gyration_m,antecedent,Spatial_Context,930168.5379176289,706988.6477735637,223179.89014406514,0.5050896135511277,0.5050896135511277
R00007,1248,1732,1,duration_total_seconds,target,Temporal,594000.0,594000.0,0.0,0.0,0.0
R00007,1248,1732,1,point_count,target,Temporal,56.0,56.0,0.0,0.0,0.0
R00007,1248,1732,1,sampling_gap_cv,target,Temporal,0.0,0.0,0.0,0.0,0.0
R00007,1248,1732,1,sampling_gap_iqr_seconds,target,Temporal,0.0,0.0,0.0,0.0,0.0
R00007,1248,1732,1,sampling_gap_mean_seconds,target,Temporal,10800.0,10800.0,0.0,0.0,0.0
R00007,1248,1732,1,sampling_gap_sd_seconds,target,Temporal,0.0,0.0,0.0,0.0,0.0
R00007,1274,85,1,directness_ratio,antecedent,Displacement;Spatial_Context,0.8870325140415027,0.6751910250143727,0.21184148902713007,0.8798005048557129,0.8798005048557129
R00007,1274,85,1,net_displacement_m,antecedent,Displacement;Spatial_Context,2018367.8306509764,2070214.6788044602,-51846.84815348382,-0.035252088288637996,0.035252088288637996
R00007,1274,85,1,path_length_m,antecedent,Displacement;Spatial_Context,2275415.837301022,3066116.998164174,-790701.1608631522,-0.5577351128579241,0.5577351128579241
R00007,1274,85,1,acceleration_mean_first_half,antecedent_and_target,Phase_Change;Temporal,-7.579163693402262e-06,1.0214113632106021e-05,-1.7793277325508285e-05,-1.2147258855384342,1.2147258855384342
R00007,1274,85,1,acceleration_mean_half_diff,antecedent_and_target,Phase_Change;Temporal,1.0855214484909878e-05,3.331104674834641e-05,-2.2455832263436534e-05,-0.7688898059140428,0.7688898059140428
R00007,1274,85,1,acceleration_mean_second_half,antecedent_and_target,Phase_Change;Temporal,3.2760507915076147e-06,4.352516038045243e-05,-4.024910958894481e-05,-2.149078285664039,2.149078285664039
R00007,1274,85,1,speed_mean_first_half,antecedent_and_target,Phase_Change;Temporal,2.4176729883443917,1.5950728712911528,0.8226001170532389,0.31801955742917054,0.31801955742917054
R00007,1274,85,1,speed_mean_half_diff,antecedent_and_target,Phase_Change;Temporal,2.689177294809305,6.949130044997634,-4.259952750188329,-1.4651191915161657,1.4651191915161657
R00007,1274,85,1,speed_mean_second_half,antecedent_and_target,Phase_Change;Temporal,5.106850283153697,8.544202916288787,-3.4373526331350908,-1.114423437730905,1.114423437730905
R00007,1274,85,1,angles_0s,antecedent_and_target,Geometric,9.0,9.0,0.0,0.0,0.0
R00007,1274,85,1,angles_iqr,antecedent_and_target,Geometric,20.447002848079993,40.41873197147928,-19.97172912339929,-2.1441299695812037,2.1441299695812037
R00007,1274,85,1,angles_kurt,antecedent_and_target,Geometric,10.185405876244722,6.28013241373216,3.9052734625125627,0.6137158567902965,0.6137158567902965
R00007,1274,85,1,angles_mad,antecedent_and_target,Geometric,11.91937009158632,16.615756597025722,-4.696386505439403,-1.0967516241285777,1.0967516241285777
R00007,1274,85,1,angles_mean,antecedent_and_target,Geometric,22.849746003813813,22.228009457405218,0.6217365464085951,0.07438990610665552,0.07438990610665552
R00007,1274,85,1,angles_meanse,antecedent_and_target,Geometric,4.448766786539801,3.3767863368496673,1.071980449690134,0.5986180629988391,0.5986180629988391
R00007,1274,85,1,angles_quant_05,antecedent_and_target,Geometric,0.0,0.0,0.0,0.0,0.0
R00007,1274,85,1,angles_quant_10,antecedent_and_target,Geometric,0.0,0.0,0.0,0.0,0.0
R00007,1274,85,1,angles_quant_25,antecedent_and_target,Geometric,6.118048328998398,2.548742439975603,3.5693058890227953,1.10432653540633,1.10432653540633
R00007,1274,85,1,angles_quant_75,antecedent_and_target,Geometric,26.56505117707839,42.96747441145489,-16.402423234376496,-1.886469181707574,1.886469181707574
R00007,1274,85,1,angles_quant_90,antecedent_and_target,Geometric,44.99999999999858,45.00000000000417,-5.5919713304319885e-12,-2.8421709430404007e-13,2.8421709430404007e-13
R00007,1274,85,1,angles_quant_95,antecedent_and_target,Geometric,90.00000000000286,45.00000000000885,44.999999999994,1.7166876987931188,1.7166876987931188
R00007,1274,85,1,angles_quant_max,antecedent_and_target,Geometric,180.0,134.9999999999939,45.00000000000611,0.6900754711221575,0.6900754711221575
R00007,1274,85,1,angles_quant_median,antecedent_and_target,Geometric,11.91937009158632,18.434948822919687,-6.515578731333367,-1.1758415348869748,1.1758415348869748
R00007,1274,85,1,angles_quant_min,antecedent_and_target,Geometric,0.0,0.0,0.0,0.0,0.0
