trajectory_id,n_pair_labels,n_normal,n_hybrid,n_uncommon,non_normal_count,non_normal_ratio,hybrid_ratio,uncommon_ratio,dominant_uncommon_node,dominant_uncommon_node_count,dominant_uncommon_node_ratio,fingerprint_entropy,count_uncommon_Acceleration_Dynamics,count_uncommon_Curvature_Geometry,count_uncommon_Spatial_Reach_and_Route,count_uncommon_Speed_Dynamics,count_uncommon_Temporal_Sequential_Context,count_uncommon_Turning_Dynamics
69,15,3,9,3,12,0.8,0.6,0.2,Turning_Dynamics,1,0.3333333333333333,1.6879430945989,0,0,1,1,0,1
70,15,10,0,5,5,0.3333333333333333,0.0,0.3333333333333333,Turning_Dynamics,5,1.0,0.9182958340544896,0,0,0,0,0,5
71,15,10,5,0,5,0.3333333333333333,0.3333333333333333,0.0,,0,0.0,0.9182958340544896,0,0,0,0,0,0
72,15,0,10,5,15,1.0,0.6666666666666666,0.3333333333333333,Temporal_Sequential_Context,1,0.2,1.6922718656836107,1,1,1,1,1,0
73,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
74,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
75,15,3,5,7,12,0.8,0.3333333333333333,0.4666666666666667,Turning_Dynamics,3,0.42857142857142855,2.2322628970242686,0,0,2,0,2,3
76,15,3,5,7,12,0.8,0.3333333333333333,0.4666666666666667,Turning_Dynamics,3,0.42857142857142855,2.181937063546704,0,3,0,0,1,3
77,15,6,4,5,9,0.6,0.26666666666666666,0.3333333333333333,Curvature_Geometry,3,0.6,1.8892464285091581,0,3,0,2,0,0
78,15,10,2,3,5,0.3333333333333333,0.13333333333333333,0.2,Acceleration_Dynamics,3,1.0,1.2419460322060458,3,0,0,0,0,0
79,15,10,3,2,5,0.3333333333333333,0.2,0.13333333333333333,Turning_Dynamics,2,1.0,1.2419460322060458,0,0,0,0,0,2
80,15,6,6,3,9,0.6,0.4,0.2,Speed_Dynamics,3,1.0,1.5219280948873621,0,0,0,3,0,0
81,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Turning_Dynamics,1,0.25,1.6922718656836107,0,1,1,1,0,1
82,15,1,10,4,14,0.9333333333333333,0.6666666666666666,0.26666666666666666,Turning_Dynamics,1,0.25,1.6922718656836107,1,0,0,1,1,1
83,15,0,12,3,15,1.0,0.8,0.2,Temporal_Sequential_Context,1,0.3333333333333333,1.0389205950315936,0,0,1,1,1,0
84,15,10,4,1,5,0.3333333333333333,0.26666666666666666,0.06666666666666667,Temporal_Sequential_Context,1,1.0,1.158938532350277,0,0,0,0,1,0
85,15,6,4,5,9,0.6,0.26666666666666666,0.3333333333333333,Temporal_Sequential_Context,3,0.6,1.8892464285091581,0,0,0,0,3,2
86,15,6,6,3,9,0.6,0.4,0.2,Curvature_Geometry,3,1.0,1.5219280948873621,0,3,0,0,0,0
87,15,1,12,2,14,0.9333333333333333,0.8,0.13333333333333333,Turning_Dynamics,1,0.5,1.0389205950315936,0,0,1,0,0,1
88,15,3,12,0,12,0.8,0.8,0.0,,0,0.0,0.7219280948873623,0,0,0,0,0,0
89,15,0,11,4,15,1.0,0.7333333333333333,0.26666666666666666,Temporal_Sequential_Context,1,0.25,1.3699740752745007,0,1,1,1,1,0
90,15,0,11,4,15,1.0,0.7333333333333333,0.26666666666666666,Temporal_Sequential_Context,1,0.25,1.3699740752745009,1,0,1,1,1,0
91,15,6,5,4,9,0.6,0.3333333333333333,0.26666666666666666,Turning_Dynamics,4,1.0,1.5655962303576019,0,0,0,0,0,4
92,15,1,8,6,14,0.9333333333333333,0.5333333333333333,0.4,Turning_Dynamics,2,0.3333333333333333,1.9068905956085187,0,2,2,0,0,2
93,15,10,2,3,5,0.3333333333333333,0.13333333333333333,0.2,Acceleration_Dynamics,3,1.0,1.2419460322060458,3,0,0,0,0,0
94,15,1,12,2,14,0.9333333333333333,0.8,0.13333333333333333,Temporal_Sequential_Context,1,0.5,1.0389205950315936,1,0,0,0,1,0
95,15,6,8,1,9,0.6,0.5333333333333333,0.06666666666666667,Temporal_Sequential_Context,1,1.0,1.272905595320056,0,0,0,0,1,0
96,15,3,12,0,12,0.8,0.8,0.0,,0,0.0,0.7219280948873623,0,0,0,0,0,0
97,15,3,7,5,12,0.8,0.4666666666666667,0.3333333333333333,Turning_Dynamics,2,0.4,2.0131324651707385,1,2,0,0,0,2
98,15,6,7,2,9,0.6,0.4666666666666667,0.13333333333333333,Temporal_Sequential_Context,2,1.0,1.4294732983598406,0,0,0,0,2,0
99,15,6,9,0,9,0.6,0.6,0.0,,0,0.0,0.9709505944546686,0,0,0,0,0,0
100,15,1,12,2,14,0.9333333333333333,0.8,0.13333333333333333,Curvature_Geometry,2,1.0,0.9055872616982603,0,2,0,0,0,0
101,15,10,0,5,5,0.3333333333333333,0.0,0.3333333333333333,Turning_Dynamics,5,1.0,0.9182958340544896,0,0,0,0,0,5
102,15,1,14,0,14,0.9333333333333333,0.9333333333333333,0.0,,0,0.0,0.35335933502142136,0,0,0,0,0,0
103,15,15,0,0,0,0.0,0.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
104,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
105,15,3,8,4,12,0.8,0.5333333333333333,0.26666666666666666,Temporal_Sequential_Context,2,0.5,1.7232314287976207,0,2,0,0,2,0
106,15,6,7,2,9,0.6,0.4666666666666667,0.13333333333333333,Turning_Dynamics,1,0.5,1.5628066316931741,1,0,0,0,0,1
107,15,3,10,2,12,0.8,0.6666666666666666,0.13333333333333333,Curvature_Geometry,2,1.0,1.2419460322060458,0,2,0,0,0,0
108,15,10,4,1,5,0.3333333333333333,0.26666666666666666,0.06666666666666667,Spatial_Reach_and_Route,1,1.0,1.158938532350277,0,0,1,0,0,0
109,15,0,15,0,15,1.0,1.0,0.0,,0,0.0,0.0,0,0,0,0,0,0
110,15,1,11,3,14,0.9333333333333333,0.7333333333333333,0.2,Temporal_Sequential_Context,1,0.3333333333333333,1.3699740752745009,0,1,1,0,1,0
111,15,1,6,8,14,0.9333333333333333,0.4,0.5333333333333333,Turning_Dynamics,2,0.25,2.339572261986723,2,2,2,0,0,2
112,15,3,8,4,12,0.8,0.5333333333333333,0.26666666666666666,Speed_Dynamics,2,0.5,1.7232314287976207,0,0,2,2,0,0
