meta_pattern_id,trajectory_id,required_uncommon_counts,observed_uncommon_counts
MP00003,22,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=4;Turning_Dynamics=3
MP00003,24,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,28,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,42,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=3
MP00003,48,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=3
MP00003,76,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=3
MP00003,92,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,97,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,111,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,142,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,168,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,181,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=3
MP00003,214,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=2
MP00003,260,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=3
MP00003,261,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
MP00003,286,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=4;Turning_Dynamics=4
MP00003,300,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,307,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=4
MP00003,309,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=2
MP00003,352,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,373,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=3
MP00003,388,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
MP00003,425,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=4
MP00003,426,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,430,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
MP00003,442,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,446,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
MP00003,464,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
MP00003,479,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,499,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,532,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=2
MP00003,574,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
MP00003,579,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=4
MP00003,619,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
MP00003,641,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
MP00003,654,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=2
MP00003,655,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=3
MP00003,662,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,672,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=4;Turning_Dynamics=4
MP00003,691,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=4
MP00003,704,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,774,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,806,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=3
MP00003,823,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,919,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=3
MP00003,963,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=3;Turning_Dynamics=3
MP00003,1053,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1077,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
MP00003,1114,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1187,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=4
MP00003,1201,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1224,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1249,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1251,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
MP00003,1259,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1260,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=2;Turning_Dynamics=2
MP00003,1268,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=3
MP00003,1320,Curvature_Geometry>=1;Turning_Dynamics>=2,Curvature_Geometry=1;Turning_Dynamics=2
