trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
1418,316021279,0.2698,0.1325,0.764,0.0496,0.1939,0.0419
1419,316021279,0.2586,0.1041,0.1661,0.3954,0.1373,0.1065
1420,316021279,0.2553,0.089,0.165,0.3894,0.1355,0.0767
1421,316021279,0.2205,0.1448,0.2017,0.1509,0.2396,0.027
1422,316021279,0.2053,0.1093,0.1666,0.1742,0.1478,0.1086
1423,316021279,0.1944,0.0913,0.1727,0.0952,0.135,0.0539
1424,316021279,0.2294,0.1085,0.1658,0.3063,0.1419,0.1094
1425,316021279,0.2127,0.1122,0.1584,0.2711,0.1499,0.1105
1426,316021279,0.1867,0.2932,0.1625,0.0684,0.1442,0.8058
1427,316021279,0.2078,0.138,0.1644,0.1987,0.1371,0.5919
1428,316021279,0.2144,0.0924,0.1672,0.2342,0.1471,0.0806
1429,316021351,0.233,0.3525,0.1743,0.2954,0.7128,0.0602
1430,316021351,0.267,0.4346,0.1773,0.3577,0.7473,0.0791
1431,316021351,0.1997,0.1031,0.1548,0.2051,0.1404,0.1018
1432,316021351,0.218,0.0994,0.1729,0.2134,0.1332,0.094
1433,316021351,0.2106,0.0858,0.1718,0.1661,0.1307,0.0647
1434,316021351,0.2017,0.0897,0.1683,0.1504,0.1315,0.0827
1435,316021351,0.2386,0.1474,0.1768,0.3101,0.2059,0.1052
1436,316021351,0.1959,0.1038,0.1611,0.1359,0.1414,0.0872
1437,316021351,0.2083,0.1025,0.1737,0.1182,0.1302,0.2777
1438,316021351,0.2175,0.089,0.1724,0.2094,0.1307,0.0777
1439,316021351,0.2198,0.107,0.1694,0.2453,0.1384,0.1071
1440,316021351,0.2429,0.2244,0.1716,0.3339,0.5703,0.0348
1441,316021351,0.2482,0.1419,0.171,0.36,0.2317,0.0359
1442,316021351,0.2033,0.1106,0.168,0.1354,0.1448,0.1118
1443,316021382,0.8925,0.6723,0.9559,0.063,0.8289,0.0372
1444,316021382,0.1903,0.1093,0.1595,0.1172,0.1491,0.1052
