rule_id,target_item,target_pair,target_label,antecedent_items,antecedent_length,n_total,n_target,rule_support_count,rule_support_ratio,target_coverage,antecedent_support_count,antecedent_support_ratio,confidence,target_base_rate,lift,growth_rate,growth_rate_status,leverage
R00021,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,Curvature_Geometry__x__Temporal_Sequential_Context,Uncommon Temporal_Sequential_Context,Acceleration_Dynamics__x__Curvature_Geometry=Uncommon Acceleration_Dynamics;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,2688,319,39,0.014508928571428572,0.12225705329153605,42,0.015625,0.9285714285714286,0.11867559523809523,7.824451410658308,96.5423197492163,finite,0.012654622395833334
R00022,Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Spatial_Reach_and_Route,Spatial_Reach_and_Route__x__Temporal_Sequential_Context,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Speed_Dynamics,2,2688,191,25,0.009300595238095238,0.13089005235602094,27,0.010044642857142858,0.9259259259259259,0.07105654761904762,13.030831878999418,163.41623036649216,finite,0.00858685759460034
R00023,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics;Curvature_Geometry__x__Speed_Dynamics=Uncommon Curvature_Geometry,2,2688,273,24,0.008928571428571428,0.08791208791208792,26,0.009672619047619048,0.9230769230769231,0.1015625,9.088757396449704,106.15384615384616,finite,0.007946196056547618
R00024,Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Turning_Dynamics,Spatial_Reach_and_Route__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,2688,332,35,0.013020833333333334,0.10542168674698796,38,0.014136904761904762,0.9210526315789473,0.12351190476190477,7.4571972098921995,82.79116465863454,finite,0.011274757298752835
R00025,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,Uncommon Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Acceleration_Dynamics;Temporal_Sequential_Context__x__Turning_Dynamics=Uncommon Temporal_Sequential_Context,2,2688,290,23,0.00855654761904762,0.07931034482758621,25,0.009300595238095238,0.92,0.10788690476190477,8.527448275862069,95.09310344827587,finite,0.007553135186366214
R00026,Acceleration_Dynamics__x__Speed_Dynamics=Uncommon Speed_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,Uncommon Speed_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route;Curvature_Geometry__x__Speed_Dynamics=Uncommon Speed_Dynamics,2,2688,293,23,0.00855654761904762,0.07849829351535836,25,0.009300595238095238,0.92,0.10900297619047619,8.44013651877133,94.00170648464163,finite,0.007542755057752268
R00027,Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,Speed_Dynamics__x__Turning_Dynamics,Uncommon Turning_Dynamics,Spatial_Reach_and_Route__x__Turning_Dynamics=Uncommon Turning_Dynamics;Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,2,2688,301,23,0.00855654761904762,0.07641196013289037,25,0.009300595238095238,0.92,0.11197916666666667,8.215813953488372,91.19767441860465,finite,0.007515074714781747
R00028,Spatial_Reach_and_Route__x__Temporal_Sequential_Context=Uncommon Spatial_Reach_and_Route,Spatial_Reach_and_Route__x__Temporal_Sequential_Context,Uncommon Spatial_Reach_and_Route,Acceleration_Dynamics__x__Spatial_Reach_and_Route=Uncommon Spatial_Reach_and_Route;Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Curvature_Geometry,2,2688,191,34,0.012648809523809524,0.17801047120418848,37,0.013764880952380952,0.918918918918919,0.07105654761904762,12.932220178293479,148.16404886561955,finite,0.011670724604946146
R00029,Speed_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context,Speed_Dynamics__x__Temporal_Sequential_Context,Uncommon Temporal_Sequential_Context,Curvature_Geometry__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context;Spatial_Reach_and_Route__x__Speed_Dynamics=Uncommon Spatial_Reach_and_Route,2,2688,269,33,0.012276785714285714,0.12267657992565056,36,0.013392857142857142,0.9166666666666666,0.10007440476190477,9.159851301115241,98.9182156133829,finite,0.01093650350765306
R00030,Acceleration_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,Uncommon Turning_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context=Uncommon Temporal_Sequential_Context;Speed_Dynamics__x__Turning_Dynamics=Uncommon Turning_Dynamics,2,2688,298,22,0.00818452380952381,0.0738255033557047,24,0.008928571428571428,0.9166666666666666,0.11086309523809523,8.268456375838927,88.22147651006712,finite,0.00719467474489796
