meta_pattern_id,contrast_group,contrast_group_label,selection_reason,node_id,pair_id,required_uncommon_count,n_covered,n_contrast,covered_uncommon_count,contrast_uncommon_count,covered_uncommon_ratio,contrast_uncommon_ratio,covered_to_contrast_ratio,covered_to_contrast_ratio_status
MP00007,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Speed_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,2,58,58,0,12,0.0,0.20689655172413793,0.0,finite
MP00007,near_miss,Near miss,one_missing_uncommonness_count,Acceleration_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry,1,58,229,38,28,0.6551724137931034,0.1222707423580786,5.358374384236454,finite
MP00007,near_miss,Near miss,one_missing_uncommonness_count,Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,1,58,229,30,64,0.5172413793103449,0.2794759825327511,1.8507543103448278,finite
MP00007,near_miss,Near miss,one_missing_uncommonness_count,Acceleration_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context,1,58,229,18,14,0.3103448275862069,0.0611353711790393,5.076354679802956,finite
MP00007,near_miss,Near miss,one_missing_uncommonness_count,Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route,1,58,229,17,12,0.29310344827586204,0.05240174672489083,5.593390804597701,finite
MP00007,near_miss,Near miss,one_missing_uncommonness_count,Acceleration_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,1,58,229,0,0,0.0,0.0,,zero_both
MP00007,near_miss,Near miss,one_missing_uncommonness_count,Speed_Dynamics,Curvature_Geometry__x__Speed_Dynamics,2,58,229,44,97,0.7586206896551724,0.42358078602620086,1.790970494134376,finite
MP00007,near_miss,Near miss,one_missing_uncommonness_count,Speed_Dynamics,Speed_Dynamics__x__Turning_Dynamics,2,58,229,37,111,0.6379310344827587,0.4847161572052402,1.3160919540229885,finite
MP00007,near_miss,Near miss,one_missing_uncommonness_count,Speed_Dynamics,Speed_Dynamics__x__Temporal_Sequential_Context,2,58,229,25,75,0.43103448275862066,0.32751091703056767,1.3160919540229885,finite
MP00007,near_miss,Near miss,one_missing_uncommonness_count,Speed_Dynamics,Spatial_Reach_and_Route__x__Speed_Dynamics,2,58,229,24,66,0.41379310344827586,0.28820960698689957,1.4357366771159874,finite
MP00007,near_miss,Near miss,one_missing_uncommonness_count,Speed_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,2,58,229,0,70,0.0,0.3056768558951965,0.0,finite
MP00007,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Acceleration_Dynamics,Acceleration_Dynamics__x__Curvature_Geometry,1,58,366,38,0,0.6551724137931034,0.0,,zero_contrast
MP00007,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,1,58,366,30,0,0.5172413793103449,0.0,,zero_contrast
MP00007,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Acceleration_Dynamics,Acceleration_Dynamics__x__Temporal_Sequential_Context,1,58,366,18,0,0.3103448275862069,0.0,,zero_contrast
MP00007,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route,1,58,366,17,0,0.29310344827586204,0.0,,zero_contrast
MP00007,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Acceleration_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,1,58,366,0,0,0.0,0.0,,zero_both
MP00007,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Speed_Dynamics,Curvature_Geometry__x__Speed_Dynamics,2,58,366,44,0,0.7586206896551724,0.0,,zero_contrast
MP00007,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Speed_Dynamics,Speed_Dynamics__x__Turning_Dynamics,2,58,366,37,0,0.6379310344827587,0.0,,zero_contrast
MP00007,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Speed_Dynamics,Speed_Dynamics__x__Temporal_Sequential_Context,2,58,366,25,0,0.43103448275862066,0.0,,zero_contrast
MP00007,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Speed_Dynamics,Spatial_Reach_and_Route__x__Speed_Dynamics,2,58,366,24,0,0.41379310344827586,0.0,,zero_contrast
MP00007,typical_normal,Typical normal,zero_uncommon_and_zero_hybrid_labels,Speed_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,2,58,366,0,0,0.0,0.0,,zero_both
MP00008,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Turning_Dynamics,2,47,47,35,9,0.7446808510638298,0.19148936170212766,3.888888888888889,finite
MP00008,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Speed_Dynamics,2,47,47,30,11,0.6382978723404256,0.23404255319148937,2.7272727272727275,finite
MP00008,matched_non_pattern,Matched non-pattern,nearest_nonpattern_rows_by_total_uncommon_hybrid_and_pattern_evidence,Acceleration_Dynamics,Acceleration_Dynamics__x__Spatial_Reach_and_Route,2,47,47,27,9,0.574468085106383,0.19148936170212766,3.0000000000000004,finite
