trajectory_id,object_id,geometric,kinematic,curvature,indentation,speed,acceleration
347,252,0.0609,0.4628,0.0748,0.124,0.509,0.1703
348,252,0.1151,0.1615,0.1156,0.2215,0.2154,0.0116
349,252,0.2814,0.0268,0.0839,0.6946,0.0678,0.0247
350,252,0.0772,0.1853,0.0076,0.2215,0.2056,0.1703
351,252,0.0089,0.1042,0.0287,0.0174,0.1122,0.075
352,252,1.0,0.1265,1.0,1.0,0.1122,0.6565
353,253,0.2205,0.7426,0.3212,0.1489,0.7583,0.5531
354,253,0.2717,0.122,0.189,0.3636,0.1303,0.0961
355,253,0.239,0.1161,0.195,0.3265,0.1265,0.0873
356,253,0.2019,0.1109,0.1255,0.3923,0.0723,0.4731
357,253,0.1841,0.1034,0.0597,0.4104,0.1017,0.1092
358,253,0.8916,0.8207,0.9433,0.4958,0.8117,0.8399
359,253,0.9941,0.7827,0.9977,0.0355,0.7989,0.5983
360,253,0.1663,0.096,0.0197,0.3613,0.1235,0.0902
361,253,0.1707,1.0,0.3311,0.0952,0.991,1.0
362,253,0.1448,0.1466,0.1897,0.1625,0.1431,0.3166
363,253,0.2042,0.1533,0.4082,0.0816,0.1498,0.1376
364,253,0.6437,0.1027,0.6977,0.5291,0.0761,0.5204
365,253,0.0416,0.1057,0.0514,0.0937,0.1054,0.1033
366,253,0.075,0.7374,0.1066,0.1028,0.7282,0.818
367,253,0.0356,0.1763,0.0665,0.0869,0.1837,0.1172
368,253,0.1373,0.0379,0.263,0.1088,0.0497,0.0204
369,253,0.5739,0.6257,0.6591,0.4286,0.6506,0.3028
370,253,0.8099,0.7485,0.8148,0.6319,0.7884,0.433
371,253,0.095,0.2619,0.037,0.2547,0.3253,0.1266
372,253,0.4039,0.314,0.4762,0.2933,0.3983,0.0699
373,253,0.83,0.125,0.8949,0.4875,0.1258,0.1259
374,253,0.1611,0.7582,0.1293,0.2154,0.7681,0.746
375,253,0.1574,0.8519,0.3046,0.0627,0.8479,0.8908
376,253,0.5999,0.0923,0.1005,0.836,0.0708,0.206
377,253,0.0698,0.1332,0.1262,0.0574,0.137,0.0837
378,253,0.9948,0.8043,0.9864,0.9259,0.7432,0.8792
379,253,0.173,0.1972,0.3522,0.0506,0.2523,0.1121
380,253,0.4165,0.0506,0.2343,0.514,0.0414,0.1004
381,253,0.1255,0.1198,0.2268,0.0899,0.1348,0.048
382,253,0.0869,0.1629,0.1345,0.1277,0.1702,0.1274
383,253,0.6281,0.1168,0.1708,0.7997,0.1498,0.0386
384,253,0.1321,0.9621,0.1504,0.1413,0.939,0.9964
385,253,0.0735,0.0789,0.0786,0.1497,0.0889,0.0604
386,253,0.1269,0.1667,0.0847,0.2215,0.1145,0.6194
387,253,0.3794,0.0952,0.2517,0.5163,0.0934,0.0888
388,253,0.9963,0.0632,0.4203,0.997,0.0655,0.0502
389,255,0.0334,0.058,0.0574,0.0227,0.061,0.0684
390,255,0.1507,0.0484,0.0476,0.3968,0.058,0.075
391,255,0.2071,0.1183,0.2419,0.291,0.1197,0.0771
392,255,0.876,0.1116,0.9531,0.1723,0.1114,0.1725
393,255,0.1849,0.1235,0.1459,0.2804,0.1258,0.0837
394,255,0.1611,0.7842,0.1134,0.2933,0.7944,0.7496
395,255,0.3422,0.6734,0.5488,0.1799,0.7078,0.0182
396,255,0.9428,0.7879,0.9501,0.5488,0.7937,0.7897
397,255,0.271,0.0685,0.4686,0.158,0.0633,0.3901
398,255,0.2368,0.9963,0.1081,0.3643,0.9925,0.9993
399,255,0.121,0.8609,0.2993,0.0166,0.872,0.7358
400,255,0.6696,0.1577,0.0582,0.8806,0.1498,0.1972
401,255,0.1344,0.0387,0.0355,0.2789,0.0377,0.115
402,255,0.3422,0.183,0.0658,0.6266,0.2063,0.0881
403,255,0.2509,0.0662,0.1625,0.4014,0.0843,0.0626
404,255,0.833,0.369,0.9486,0.3394,0.4962,0.0531
405,255,0.029,0.1674,0.0249,0.1126,0.2139,0.1164
406,255,0.0601,0.1071,0.0801,0.099,0.0971,0.1215
407,255,0.1269,0.875,0.1134,0.2011,0.8742,0.4578
408,255,0.2777,0.1213,0.1444,0.4989,0.1069,0.1601
409,255,0.343,0.2961,0.5994,0.1534,0.3705,0.1987
410,255,0.0505,0.1391,0.0582,0.1119,0.1378,0.1121
411,255,0.1076,0.1726,0.0559,0.2139,0.1928,0.0568
412,255,0.1826,0.1205,0.1625,0.2328,0.116,0.19
413,255,0.144,0.224,0.2101,0.198,0.2508,0.0888
414,255,0.8946,0.0699,0.9531,0.3794,0.052,0.2613
415,255,0.68,0.8229,0.8836,0.2132,0.8268,0.6987
416,255,0.9918,0.9978,0.997,0.4278,0.9925,0.9993
417,255,0.5278,0.1183,0.5813,0.5359,0.1355,0.0895
418,255,0.9131,0.0729,0.9751,0.0877,0.0873,0.0502
419,255,0.0757,0.0484,0.2063,0.0295,0.064,0.0197
420,255,0.1128,0.1347,0.0325,0.2411,0.1476,0.075
421,255,0.8493,0.8787,0.8881,0.6236,0.8735,0.8632
422,255,0.0431,0.1384,0.0144,0.1875,0.1506,0.1004
423,255,0.9814,0.1473,0.9834,0.6841,0.1739,0.0269
424,255,1.0,0.3028,0.9448,0.994,0.2583,0.8144
425,256,0.2769,0.0714,0.2577,0.4104,0.0693,0.0946
426,256,0.1871,0.1868,0.2011,0.2525,0.2071,0.1063
427,256,0.0171,0.2068,0.0446,0.006,0.2176,0.1769
428,256,0.1945,0.0439,0.3643,0.0892,0.055,0.0262
429,256,0.0349,0.1205,0.0454,0.093,0.1114,0.1237
430,256,0.5872,0.7143,0.7997,0.2305,0.7184,0.6434
431,256,0.0676,0.2932,0.0068,0.2653,0.384,0.1368
432,256,0.3333,0.8162,0.7672,0.0234,0.8117,0.8239
433,256,0.02,0.0692,0.0711,0.0234,0.0768,0.064
434,256,0.0742,0.0283,0.0892,0.1028,0.0384,0.0386
435,256,0.0572,0.5536,0.1088,0.028,0.5926,0.3566
436,256,0.9866,0.7738,0.994,0.0378,0.7161,0.8748
437,256,0.2116,0.1488,0.1247,0.4671,0.1664,0.1063
438,256,0.1707,0.0558,0.2381,0.1481,0.0489,0.1164
439,256,0.0564,0.1458,0.1293,0.0537,0.1611,0.0924
440,256,0.02,0.183,0.0023,0.1285,0.1988,0.1259
441,256,0.1693,0.1027,0.254,0.1512,0.1032,0.0961
442,256,0.0505,0.3348,0.028,0.1633,0.4367,0.1172
443,256,0.1047,0.0506,0.0272,0.2509,0.0648,0.0269
444,256,0.4751,0.9777,0.802,0.1383,0.9819,0.7838
445,256,0.0698,0.1176,0.1172,0.0733,0.1032,0.1288
446,256,0.5375,0.0536,0.3212,0.6039,0.058,0.0553
447,256,0.3148,0.1667,0.0726,0.5956,0.2018,0.1332
448,256,0.0349,0.1347,0.0529,0.0612,0.189,0.1645
449,256,0.2576,0.6949,0.0635,0.4875,0.6325,0.9483
450,256,0.2992,0.7359,0.5881,0.1172,0.7583,0.2431
451,256,0.1767,0.1183,0.1973,0.2011,0.1288,0.0531
452,256,0.1359,0.6302,0.0695,0.3341,0.6544,0.46
453,256,0.8938,0.0305,0.9599,0.0877,0.0346,0.0408
454,256,0.0646,0.8646,0.0597,0.1285,0.8893,0.0604
455,256,0.1529,0.0074,0.4709,0.0416,0.009,0.0124
456,256,0.0341,0.099,0.0408,0.0627,0.0896,0.27
457,256,0.2739,0.6198,0.6342,0.0227,0.5986,0.7889
458,256,0.1002,0.8095,0.0688,0.195,0.8449,0.0102
459,256,0.4558,0.7865,0.1141,0.7536,0.8441,0.0582
460,256,0.1396,0.5595,0.0703,0.2638,0.5136,0.8319
461,256,0.1656,0.4122,0.0763,0.3084,0.4736,0.2809
462,256,0.3623,0.1101,0.6841,0.1172,0.1355,0.064
463,256,0.0676,0.7061,0.0824,0.1489,0.7425,0.3311
464,256,0.1514,0.1101,0.0703,0.3356,0.1062,0.0866
465,256,0.2101,0.2403,0.6085,0.0529,0.2718,0.1332
466,256,0.3719,0.1354,0.2419,0.4218,0.1355,0.0691
467,256,0.1737,0.1272,0.2479,0.1534,0.1318,0.115
468,256,0.0319,0.1243,0.0582,0.0416,0.113,0.1434
469,256,0.2339,0.4926,0.2842,0.2547,0.4495,0.6943
470,256,0.0275,0.2366,0.0219,0.1141,0.2877,0.1092
471,256,0.069,0.1429,0.1557,0.0514,0.1453,0.1245
472,256,0.4521,0.0938,0.3553,0.4951,0.1077,0.0866
473,256,0.0861,0.2128,0.0552,0.2426,0.2387,0.0873
474,256,0.1715,0.0975,0.1413,0.2169,0.1032,0.0968
475,256,0.6941,0.6845,0.8617,0.4346,0.7154,0.3865
476,256,0.0579,0.1168,0.0574,0.0839,0.1288,0.0742
477,256,0.5271,0.1696,0.2147,0.7876,0.183,0.0852
478,256,0.3608,0.1124,0.3583,0.5019,0.1295,0.0808
